Ensembl Gene ID	Ensembl Transcript ID	Gene Biotype	Transcript Start (bp)	Transcript End (bp)
ENSG00000235652	ENST00000587426	antisense	145815298	145855086
ENSG00000235652	ENST00000592775	antisense	145815298	145871493
ENSG00000235652	ENST00000591489	antisense	145815298	145883593
ENSG00000235652	ENST00000587540	antisense	145815298	145883661
ENSG00000235903	ENST00000606351	antisense	46052806	46096531
ENSG00000235903	ENST00000606243	antisense	46052848	46100024
ENSG00000235903	ENST00000606991	antisense	46052848	46101347
ENSG00000235903	ENST00000415033	antisense	46052902	46113332
ENSG00000236066	ENST00000413231	lincRNA	113008254	113047055
ENSG00000236066	ENST00000451149	lincRNA	113033673	113047055
ENSG00000236668	ENST00000453529	antisense	124006277	124009396
ENSG00000236682	ENST00000433673	lincRNA	127389130	127400580
ENSG00000236939	ENST00000436771	antisense	103132963	103141342
ENSG00000236939	ENST00000521246	antisense	103132966	103141475
ENSG00000237082	ENST00000454311	processed_pseudogene	100623875	100624429
ENSG00000237166	ENST00000452787	lincRNA	200712305	200735177
ENSG00000237418	ENST00000441819	processed_pseudogene	196298061	196298215
ENSG00000237481	ENST00000418348	antisense	229319403	229323087
ENSG00000238194	ENST00000443055	antisense	59626464	59628279
ENSG00000238194	ENST00000451510	antisense	59626481	59628289
ENSG00000238276	ENST00000413810	processed_transcript	118241564	118242074
ENSG00000238276	ENST00000431695	processed_transcript	118241643	118247873
ENSG00000238276	ENST00000436975	processed_transcript	118241645	118247873
ENSG00000238276	ENST00000436430	processed_transcript	118241652	118267710
ENSG00000239922	ENST00000467198	lincRNA	147940004	147943014
ENSG00000239922	ENST00000485006	lincRNA	147940020	148006755
ENSG00000241278	ENST00000487446	unprocessed_pseudogene	125848223	125909372
ENSG00000242759	ENST00000484698	lincRNA	106836811	107240632
ENSG00000242759	ENST00000606742	lincRNA	107109790	107129991
ENSG00000242759	ENST00000607542	lincRNA	107109790	107129991
ENSG00000242759	ENST00000607801	lincRNA	107109790	107240589
ENSG00000242759	ENST00000477210	lincRNA	107109790	107240638
ENSG00000242759	ENST00000479612	lincRNA	107111485	107240627
ENSG00000242759	ENST00000473636	lincRNA	107111866	107240641
ENSG00000242808	ENST00000487240	sense_overlapping	180989770	181057244
ENSG00000242808	ENST00000461063	sense_overlapping	180989781	181175819
ENSG00000242808	ENST00000493521	sense_overlapping	181056680	181740025
ENSG00000242808	ENST00000460739	sense_overlapping	181056685	181699784
ENSG00000242808	ENST00000597347	sense_overlapping	181174890	181700044
ENSG00000242808	ENST00000493116	sense_overlapping	181175025	181563855
ENSG00000242808	ENST00000469278	sense_overlapping	181175144	181739657
ENSG00000242808	ENST00000597828	sense_overlapping	181550754	181739687
ENSG00000242808	ENST00000595313	sense_overlapping	181550755	181631004
ENSG00000242808	ENST00000594942	sense_overlapping	181550779	181699796
ENSG00000242808	ENST00000598867	sense_overlapping	181550794	181671612
ENSG00000242808	ENST00000497122	sense_overlapping	181563456	181630890
ENSG00000242808	ENST00000472856	sense_overlapping	181563710	181671741
ENSG00000242808	ENST00000498731	sense_overlapping	181563721	181742473
ENSG00000242808	ENST00000476964	sense_overlapping	181610334	181739693
ENSG00000242808	ENST00000492337	sense_overlapping	181610363	181741230
ENSG00000242808	ENST00000491282	sense_overlapping	181610524	181739873
ENSG00000242808	ENST00000498226	sense_overlapping	181610529	181790946
ENSG00000242808	ENST00000485035	sense_overlapping	181610541	181699880
ENSG00000242808	ENST00000476125	sense_overlapping	181610609	181710295
ENSG00000242808	ENST00000477928	sense_overlapping	181699493	181740079
ENSG00000242808	ENST00000466034	sense_overlapping	181699496	181739998
ENSG00000242808	ENST00000490005	sense_overlapping	181699594	181700100
ENSG00000242808	ENST00000600962	sense_overlapping	181699595	181709850
ENSG00000242808	ENST00000600801	sense_overlapping	181699595	181739670
ENSG00000242808	ENST00000596250	sense_overlapping	181699595	181739721
ENSG00000242808	ENST00000593549	sense_overlapping	181699595	181739830
ENSG00000242808	ENST00000599082	sense_overlapping	181699595	181741195
ENSG00000242808	ENST00000597651	sense_overlapping	181699595	181783836
ENSG00000242808	ENST00000600386	sense_overlapping	181699595	181790932
ENSG00000242808	ENST00000598474	sense_overlapping	181699595	181814303
ENSG00000242808	ENST00000595287	sense_overlapping	181699598	181778661
ENSG00000242808	ENST00000600778	sense_overlapping	181699599	181836805
ENSG00000242808	ENST00000593330	sense_overlapping	181699840	181836880
ENSG00000242808	ENST00000595084	sense_overlapping	181825628	181836879
ENSG00000242808	ENST00000616401	sense_overlapping	181610861	181610929
ENSG00000243389	ENST00000414784	3prime_overlapping_ncrna	112589040	112614431
ENSG00000244493	ENST00000490153	antisense	143381338	143382161
ENSG00000245526	ENST00000506978	lincRNA	88507546	88684808
ENSG00000245526	ENST00000506664	lincRNA	88540511	88611776
ENSG00000245526	ENST00000506014	lincRNA	88540727	88678445
ENSG00000245526	ENST00000502301	lincRNA	88540728	88678445
ENSG00000245526	ENST00000508885	lincRNA	88540831	88659835
ENSG00000245526	ENST00000509405	lincRNA	88540847	88684805
ENSG00000245526	ENST00000513805	lincRNA	88540884	88684825
ENSG00000245526	ENST00000505030	lincRNA	88664445	88673325
ENSG00000245526	ENST00000500197	lincRNA	88664445	88673339
ENSG00000245526	ENST00000511014	lincRNA	88664446	88684936
ENSG00000245526	ENST00000504246	lincRNA	88666320	88676298
ENSG00000245526	ENST00000509783	lincRNA	88666879	88684770
ENSG00000245526	ENST00000515885	lincRNA	88666954	88672696
ENSG00000245526	ENST00000513026	lincRNA	88667274	88678448
ENSG00000245526	ENST00000513893	lincRNA	88667342	88691041
ENSG00000245526	ENST00000509265	lincRNA	88667353	88684823
ENSG00000246375	ENST00000500009	lincRNA	88284942	88331421
ENSG00000246731	ENST00000499670	antisense	74209980	74213321
ENSG00000246731	ENST00000532794	antisense	74211486	74213342
ENSG00000246731	ENST00000531617	antisense	74212674	74213308
ENSG00000247081	ENST00000521102	antisense	103156990	103172027
ENSG00000247081	ENST00000500902	antisense	103165509	103172140
ENSG00000247081	ENST00000499522	antisense	103165929	103285907
ENSG00000247081	ENST00000523614	antisense	103190964	103298382
ENSG00000247081	ENST00000523915	antisense	103191229	103202870
ENSG00000247081	ENST00000519801	antisense	103245778	103285907
ENSG00000247081	ENST00000521383	antisense	103246473	103298763
ENSG00000247081	ENST00000523673	antisense	103267396	103285902
ENSG00000247081	ENST00000520025	antisense	103268268	103285905
ENSG00000247081	ENST00000522856	antisense	103285733	103298772
ENSG00000247970	ENST00000502101	lincRNA	99604556	99625740
ENSG00000248079	ENST00000501169	lincRNA	35546195	35859001
ENSG00000248079	ENST00000559210	lincRNA	35546383	35858303
ENSG00000248079	ENST00000560866	lincRNA	35856477	35858302
ENSG00000248285	ENST00000502882	sense_overlapping	63957893	63981043
ENSG00000248455	ENST00000508677	lincRNA	17404019	17441694
ENSG00000248455	ENST00000507730	lincRNA	17404146	17441678
ENSG00000248455	ENST00000505844	lincRNA	17436737	17441678
ENSG00000248469	ENST00000512675	antisense	176049678	176062021
ENSG00000248587	ENST00000503382	lincRNA	37840438	37874894
ENSG00000248587	ENST00000514532	lincRNA	37869907	37874894
ENSG00000248587	ENST00000510986	lincRNA	37873425	37875799
ENSG00000248794	ENST00000510537	processed_pseudogene	81242330	81242599
ENSG00000248839	ENST00000502999	antisense	98522570	98525334
ENSG00000248859	ENST00000512115	lincRNA	176743205	176743871
ENSG00000249106	ENST00000514864	antisense	175790307	175812189
ENSG00000249109	ENST00000502515	antisense	177782197	177794396
ENSG00000249306	ENST00000515513	lincRNA	174336295	174526454
ENSG00000249306	ENST00000507361	lincRNA	174336354	174528715
ENSG00000249306	ENST00000510234	lincRNA	174336495	174527045
ENSG00000249306	ENST00000504512	lincRNA	174503683	174526380
ENSG00000249306	ENST00000511707	lincRNA	174503815	174520665
ENSG00000249306	ENST00000506862	lincRNA	174517759	174532457
ENSG00000249436	ENST00000509844	lincRNA	57614389	57617431
ENSG00000249896	ENST00000508601	lincRNA	6200733	6238317
ENSG00000249937	ENST00000511596	lincRNA	17684584	17955857
ENSG00000249937	ENST00000514771	lincRNA	17850259	17929636
ENSG00000249937	ENST00000510648	lincRNA	17919228	17955837
ENSG00000250166	ENST00000508615	lincRNA	22601425	22618867
ENSG00000250241	ENST00000506897	lincRNA	133075311	133096826
ENSG00000250241	ENST00000505289	lincRNA	133093860	133149113
ENSG00000250241	ENST00000509715	lincRNA	133140581	133149116
ENSG00000250584	ENST00000504989	lincRNA	1363582	1380067
ENSG00000250584	ENST00000523692	lincRNA	1363626	1380048
ENSG00000250584	ENST00000503067	lincRNA	1364114	1368395
ENSG00000250686	ENST00000511849	3prime_overlapping_ncrna	61630233	61681049
ENSG00000250969	ENST00000512715	lincRNA	143286293	143329858
ENSG00000251239	ENST00000502435	antisense	50627032	50631940
ENSG00000251372	ENST00000502757	lincRNA	138309711	138313720
ENSG00000251372	ENST00000507145	lincRNA	138309712	138424344
ENSG00000251372	ENST00000515282	lincRNA	138309742	138349833
ENSG00000251372	ENST00000510736	lincRNA	138309742	138424149
ENSG00000251442	ENST00000503259	lincRNA	78645903	78663304
ENSG00000251442	ENST00000507802	lincRNA	78645994	78680895
ENSG00000251442	ENST00000514130	lincRNA	78646089	78663144
ENSG00000251442	ENST00000503539	lincRNA	78646184	78682663
ENSG00000251442	ENST00000504675	lincRNA	78646186	78682392
ENSG00000251442	ENST00000512322	lincRNA	78646217	78682699
ENSG00000251621	ENST00000505579	3prime_overlapping_ncrna	161424015	161428774
ENSG00000252793	ENST00000516984	rRNA	146586099	146586200
ENSG00000252821	ENST00000517012	snRNA	33001950	33002054
ENSG00000253230	ENST00000518557	lincRNA	9900064	9901200
ENSG00000253230	ENST00000519461	lincRNA	9900064	9903329
ENSG00000253230	ENST00000517675	lincRNA	9900064	9903397
ENSG00000253230	ENST00000521863	lincRNA	9903167	9904210
ENSG00000253230	ENST00000521242	lincRNA	9903461	9905366
ENSG00000253661	ENST00000522961	antisense	76491200	76683156
ENSG00000253661	ENST00000518143	antisense	76610881	76683278
ENSG00000253661	ENST00000521894	antisense	76611376	76615321
ENSG00000253661	ENST00000522357	antisense	76611674	76615028
ENSG00000253661	ENST00000523977	antisense	76615192	76616441
ENSG00000253696	ENST00000518539	lincRNA	1971397	1976478
ENSG00000253730	ENST00000523083	antisense	50158333	50161276
ENSG00000254081	ENST00000520902	lincRNA	65527008	65562780
ENSG00000254092	ENST00000518967	lincRNA	20952645	20973877
ENSG00000254187	ENST00000522956	antisense	167653228	167660481
ENSG00000254348	ENST00000521874	processed_pseudogene	47189305	47189560
ENSG00000254370	ENST00000522589	sense_intronic	28415524	28420055
ENSG00000254373	ENST00000522428	processed_pseudogene	160258253	160258585
ENSG00000254377	ENST00000520799	lincRNA	64373328	64378834
ENSG00000254377	ENST00000521441	lincRNA	64373328	64383787
ENSG00000254377	ENST00000524060	lincRNA	64377327	64378435
ENSG00000254377	ENST00000524284	lincRNA	64377333	64378478
ENSG00000254377	ENST00000519741	lincRNA	64377960	64383286
ENSG00000254427	ENST00000524410	lincRNA	45355371	45366121
ENSG00000254427	ENST00000524488	lincRNA	45355500	45356653
ENSG00000254427	ENST00000524565	lincRNA	45355501	45356648
ENSG00000255082	ENST00000526448	antisense	88504576	88524054
ENSG00000255082	ENST00000531994	antisense	88511748	88512361
ENSG00000255129	ENST00000529416	antisense	113278437	113283990
ENSG00000255129	ENST00000526487	antisense	113278553	113314424
ENSG00000255129	ENST00000533504	antisense	113279383	113314437
ENSG00000255202	ENST00000534431	antisense	33665220	33696701
ENSG00000255384	ENST00000532619	lincRNA	118433121	118435206
ENSG00000255693	ENST00000535058	lincRNA	64883394	64977522
ENSG00000255693	ENST00000540024	lincRNA	64883774	64974611
ENSG00000255916	ENST00000537720	antisense	132329850	132331575
ENSG00000256193	ENST00000544645	lincRNA	127915372	127951510
ENSG00000256193	ENST00000540882	lincRNA	127915442	127951450
ENSG00000256193	ENST00000542089	lincRNA	127915472	127951552
ENSG00000256422	ENST00000536529	lincRNA	104445868	104609296
ENSG00000256422	ENST00000538641	lincRNA	104539931	104609321
ENSG00000256422	ENST00000545630	lincRNA	104568530	104609302
ENSG00000256448	ENST00000542598	antisense	73405297	73410672
ENSG00000256448	ENST00000536855	antisense	73405297	73410682
ENSG00000256577	ENST00000539568	antisense	203642	205094
ENSG00000256982	ENST00000537498	lincRNA	89046172	89052965
ENSG00000257002	ENST00000543624	antisense	62909546	62918361
ENSG00000257069	ENST00000539086	processed_transcript	64291722	64304769
ENSG00000257069	ENST00000328404	processed_transcript	64300391	64304766
ENSG00000257434	ENST00000549762	antisense	75020969	75041272
ENSG00000257434	ENST00000550049	antisense	75025974	75044793
ENSG00000257434	ENST00000547040	antisense	75025987	75043370
ENSG00000257918	ENST00000552415	antisense	106714924	106733066
ENSG00000258102	ENST00000547114	lincRNA	116548106	116554381
ENSG00000258483	ENST00000554798	lincRNA	98003081	98021777
ENSG00000258696	ENST00000554029	antisense	38003113	38004847
ENSG00000258702	ENST00000553378	lincRNA	96592733	96595762
ENSG00000258702	ENST00000555496	lincRNA	96592768	96594760
ENSG00000258813	ENST00000554737	antisense	73057925	73059415
ENSG00000258844	ENST00000556542	lincRNA	36214607	36235608
ENSG00000259168	ENST00000556642	antisense	27483035	27541197
ENSG00000259168	ENST00000557170	antisense	27536900	27541991
ENSG00000259175	ENST00000558208	antisense	80554609	80562944
ENSG00000259319	ENST00000560419	antisense	75423683	75427741
ENSG00000259319	ENST00000558267	antisense	75426334	75427690
ENSG00000259368	ENST00000558421	antisense	40368925	40369640
