dS	dN	dN/dS	Mouse	Ensembl
0.53890	0.08420	6.40024	ENSMUSG00000033282	ENSG00000103494
0.95550	0.11040	8.65489	ENSMUSG00000039154	ENSG00000105251
0.80230	0.08600	9.32907	ENSMUSG00000032174	ENSG00000105376
0.77770	0.00000	inf	ENSMUSG00000069806	ENSG00000105605
1.21660	0.08670	14.0323	ENSMUSG00000000792	ENSG00000105641
0.96760	0.05940	16.2896	ENSMUSG00000056413	ENSG00000105963
1.03230	0.03620	28.5166	ENSMUSG00000041798	ENSG00000106633
0.49950	0.07120	7.01545	ENSMUSG00000037578	ENSG00000107593
0.34980	0.01250	27.984	ENSMUSG00000020704	ENSG00000108684
0.78850	0.05990	13.1636	ENSMUSG00000020907	ENSG00000109047
0.50220	0.04700	10.6851	ENSMUSG00000029211	ENSG00000109158
0.48250	0.13210	3.65254	ENSMUSG00000068373	ENSG00000110427
0.40360	0.00690	58.4928	ENSMUSG00000047976	ENSG00000111262
0.34870	0.02140	16.2944	ENSMUSG00000026058	ENSG00000112232
0.47360	0.04510	10.5011	ENSMUSG00000026156	ENSG00000112309
0.37400	0.01990	18.794	ENSMUSG00000019803	ENSG00000112333
0.65130	0.04550	14.3143	ENSMUSG00000025370	ENSG00000113100
0.46900	0.00480	97.7083	ENSMUSG00000020436	ENSG00000113327
0.68540	0.01430	47.9301	ENSMUSG00000025876	ENSG00000113763
1.87660	0.11000	17.06	ENSMUSG00000020135	ENSG00000115266
0.51910	0.03340	15.5419	ENSMUSG00000015829	ENSG00000116147
0.43280	0.02000	21.64	ENSMUSG00000033342	ENSG00000117598
0.48520	0.00460	105.478	ENSMUSG00000027965	ENSG00000118733
0.62080	0.06440	9.63975	ENSMUSG00000101337	ENSG00000118997
0.61460	0.06410	9.58814	ENSMUSG00000096141	ENSG00000118997
0.62210	0.06360	9.78145	ENSMUSG00000041144	ENSG00000118997
0.43510	0.04610	9.43818	ENSMUSG00000058624	ENSG00000119125
0.55780	0.01990	28.0302	ENSMUSG00000028804	ENSG00000121904
0.38550	0.01580	24.3987	ENSMUSG00000040536	ENSG00000123119
1.18930	0.12440	9.56029	ENSMUSG00000000889	ENSG00000123454
0.67990	0.05340	12.7322	ENSMUSG00000031932	ENSG00000123901
0.68630	0.04600	14.9196	ENSMUSG00000040164	ENSG00000124134
0.59330	0.00960	61.8021	ENSMUSG00000017740	ENSG00000124140
0.96340	0.02310	41.7056	ENSMUSG00000063239	ENSG00000124493
0.34000	0.03440	9.88372	ENSMUSG00000025592	ENSG00000126733
1.82630	0.01740	104.96	ENSMUSG00000025739	ENSG00000127588
0.79380	0.01770	44.8475	ENSMUSG00000050164	ENSG00000128285
0.67610	0.02710	24.9483	ENSMUSG00000033361	ENSG00000130032
0.33940	0.09180	3.69717	ENSMUSG00000019359	ENSG00000130055
0.98420	0.20600	4.77767	ENSMUSG00000002341	ENSG00000130287
0.80730	0.06700	12.0493	ENSMUSG00000001988	ENSG00000130751
0.84600	0.07890	10.7224	ENSMUSG00000031383	ENSG00000130829
1.02760	0.07880	13.0406	ENSMUSG00000074673	ENSG00000131044
0.55600	0.17150	3.24198	ENSMUSG00000090121	ENSG00000131969
0.76780	0.27540	2.78794	ENSMUSG00000048617	ENSG00000132026
0.86620	0.02670	32.4419	ENSMUSG00000030307	ENSG00000132164
0.57720	0.05440	10.6103	ENSMUSG00000024261	ENSG00000132872
0.44100	0.03080	14.3182	ENSMUSG00000041468	ENSG00000132975
0.53500	0.09440	5.66737	ENSMUSG00000027793	ENSG00000133101
0.43190	0.14360	3.00766	ENSMUSG00000063681	ENSG00000134376
0.73400	0.01450	50.6207	ENSMUSG00000033726	ENSG00000135638
0.72820	0.02820	25.8227	ENSMUSG00000036422	ENSG00000136099
0.47900	0.01550	30.9032	ENSMUSG00000036095	ENSG00000136267
0.40170	0.08270	4.85732	ENSMUSG00000040721	ENSG00000136367
0.57140	0.01030	55.4757	ENSMUSG00000075318	ENSG00000136531
0.27500	0.00250	110	ENSMUSG00000035033	ENSG00000136535
0.53500	0.03810	14.042	ENSMUSG00000067780	ENSG00000137558
0.53260	0.03590	14.8357	ENSMUSG00000074923	ENSG00000137843
0.94530	0.24190	3.90781	ENSMUSG00000037855	ENSG00000138311
0.63050	0.04590	13.7364	ENSMUSG00000064330	ENSG00000139053
0.61860	0.13380	4.62332	ENSMUSG00000030235	ENSG00000139155
0.64030	0.07660	8.35901	ENSMUSG00000063919	ENSG00000139767
0.53830	0.12620	4.26545	ENSMUSG00000047343	ENSG00000139780
0.31300	0.05220	5.99617	ENSMUSG00000041703	ENSG00000139800
0.77590	0.12580	6.16773	ENSMUSG00000096753	ENSG00000140067
0.51210	0.02900	17.6586	ENSMUSG00000041771	ENSG00000140090
0.74320	0.14480	5.1326	ENSMUSG00000040035	ENSG00000140323
0.72640	0.04640	15.6552	ENSMUSG00000039194	ENSG00000140522
0.27470	0.00540	50.8704	ENSMUSG00000025427	ENSG00000141622
0.49000	0.02870	17.0732	ENSMUSG00000024647	ENSG00000141668
0.94820	0.02180	43.4954	ENSMUSG00000053395	ENSG00000142408
0.32600	0.05080	6.41732	ENSMUSG00000040629	ENSG00000143194
0.30800	0.07870	3.9136	ENSMUSG00000015484	ENSG00000143340
0.40070	0.01800	22.2611	ENSMUSG00000000794	ENSG00000143603
0.98240	0.02630	37.3536	ENSMUSG00000036907	ENSG00000144119
0.48590	0.00880	55.2159	ENSMUSG00000064329	ENSG00000144285
0.45030	0.01050	42.8857	ENSMUSG00000026904	ENSG00000144290
0.45750	0.00510	89.7059	ENSMUSG00000041911	ENSG00000144355
0.42520	0.04730	8.98943	ENSMUSG00000039372	ENSG00000144583
0.38010	0.01860	20.4355	ENSMUSG00000022829	ENSG00000145087
0.51740	0.01880	27.5213	ENSMUSG00000040420	ENSG00000145526
0.60260	0.02670	22.5693	ENSMUSG00000024593	ENSG00000145794
0.73960	0.11270	6.56256	ENSMUSG00000021509	ENSG00000145832
0.44570	0.00100	445.7	ENSMUSG00000007653	ENSG00000145864
0.37190	0.21210	1.75342	ENSMUSG00000032355	ENSG00000146147
0.48270	0.03670	13.1526	ENSMUSG00000007908	ENSG00000146151
0.62800	0.04900	12.8163	ENSMUSG00000015599	ENSG00000146216
0.41700	0.01000	41.7	ENSMUSG00000019785	ENSG00000146352
0.81300	0.02850	28.5263	ENSMUSG00000046922	ENSG00000146360
0.41180	0.04560	9.0307	ENSMUSG00000042425	ENSG00000147234
0.52410	0.03330	15.7387	ENSMUSG00000025909	ENSG00000147481
0.48860	0.08250	5.92242	ENSMUSG00000033740	ENSG00000147488
0.79650	0.20890	3.81283	ENSMUSG00000002459	ENSG00000147509
0.31950	0.01850	17.2703	ENSMUSG00000051920	ENSG00000147655
0.50960	0.14150	3.60141	ENSMUSG00000036949	ENSG00000148482
0.70910	0.10510	6.74691	ENSMUSG00000021804	ENSG00000148604
0.30720	0.00140	219.429	ENSMUSG00000050587	ENSG00000148948
0.79450	0.04720	16.8326	ENSMUSG00000035298	ENSG00000149243
0.56830	0.13270	4.28259	ENSMUSG00000063796	ENSG00000149452
0.67410	0.01330	50.6842	ENSMUSG00000032036	ENSG00000149571
0.38370	0.01500	25.58	ENSMUSG00000036510	ENSG00000150394
0.41230	0.05920	6.96453	ENSMUSG00000027737	ENSG00000151012
0.93760	0.07000	13.3943	ENSMUSG00000026679	ENSG00000151023
0.43440	0.01140	38.1053	ENSMUSG00000000560	ENSG00000151834
0.60860	0.10130	6.0079	ENSMUSG00000042182	ENSG00000151917
0.93020	0.08550	10.8795	ENSMUSG00000034310	ENSG00000151952
0.60430	0.04290	14.0862	ENSMUSG00000057455	ENSG00000152214
1.06190	0.35190	3.01762	ENSMUSG00000053863	ENSG00000152595
0.60580	0.02620	23.1221	ENSMUSG00000019828	ENSG00000152822
0.58000	0.07380	7.85908	ENSMUSG00000031772	ENSG00000152910
0.55380	0.01240	44.6613	ENSMUSG00000021700	ENSG00000152932
0.54210	0.04090	13.2543	ENSMUSG00000048978	ENSG00000152954
0.59230	0.01510	39.2252	ENSMUSG00000021743	ENSG00000153266
0.66730	0.15940	4.18632	ENSMUSG00000070883	ENSG00000154479
0.55960	0.23230	2.40895	ENSMUSG00000030994	ENSG00000154493
0.57420	0.00240	239.25	ENSMUSG00000030093	ENSG00000154764
0.47000	0.02280	20.614	ENSMUSG00000028031	ENSG00000155011
0.53330	0.11060	4.82188	ENSMUSG00000028354	ENSG00000155816
0.42450	0.05550	7.64865	ENSMUSG00000037996	ENSG00000155886
0.46410	0.01400	33.15	ENSMUSG00000022376	ENSG00000155897
0.08760	0.00220	39.8182	ENSMUSG00000031202	ENSG00000155961
0.46580	0.03390	13.7404	ENSMUSG00000020218	ENSG00000156076
0.38190	0.01810	21.0994	ENSMUSG00000046793	ENSG00000156097
0.30560	0.00890	34.3371	ENSMUSG00000028226	ENSG00000156103
0.47480	0.03710	12.7978	ENSMUSG00000063434	ENSG00000156395
0.59830	0.00850	70.3882	ENSMUSG00000050963	ENSG00000156486
0.81360	0.02140	38.0187	ENSMUSG00000040490	ENSG00000156564
0.42980	0.00660	65.1212	ENSMUSG00000042873	ENSG00000156959
0.51500	0.07890	6.52725	ENSMUSG00000030769	ENSG00000158865
1.33290	0.06270	21.2584	ENSMUSG00000040424	ENSG00000160396
0.32880	0.01760	18.6818	ENSMUSG00000059857	ENSG00000162631
0.82640	0.00620	133.29	ENSMUSG00000038026	ENSG00000162728
0.50880	0.01380	36.8696	ENSMUSG00000060780	ENSG00000162951
1.41690	0.01500	94.46	ENSMUSG00000051726	ENSG00000162975
0.47210	0.01010	46.7426	ENSMUSG00000034701	ENSG00000162992
0.64490	0.02360	27.3263	ENSMUSG00000001260	ENSG00000163285
0.39240	0.00870	45.1034	ENSMUSG00000029212	ENSG00000163288
0.62490	0.05960	10.4849	ENSMUSG00000026188	ENSG00000163449
0.44290	0.02180	20.3165	ENSMUSG00000056296	ENSG00000163630
0.63350	0.22430	2.82434	ENSMUSG00000053856	ENSG00000163793
0.72740	0.07020	10.3618	ENSMUSG00000025243	ENSG00000163817
0.71320	0.03850	18.5247	ENSMUSG00000036814	ENSG00000163817
0.58480	0.01190	49.1429	ENSMUSG00000023192	ENSG00000164082
0.42130	0.03470	12.1412	ENSMUSG00000027977	ENSG00000164100
0.48940	0.02660	18.3985	ENSMUSG00000064325	ENSG00000164161
0.35420	0.00460	77	ENSMUSG00000056073	ENSG00000164418
0.51300	0.01890	27.1429	ENSMUSG00000021730	ENSG00000164588
0.23880	0.00810	29.4815	ENSMUSG00000037984	ENSG00000164600
0.66260	0.05550	11.9387	ENSMUSG00000029843	ENSG00000164707
0.53240	0.01980	26.8889	ENSMUSG00000022342	ENSG00000164794
0.68210	0.02370	28.7806	ENSMUSG00000037492	ENSG00000165061
0.59510	0.01580	37.6646	ENSMUSG00000051323	ENSG00000165194
0.46420	0.01660	27.9639	ENSMUSG00000033214	ENSG00000165300
0.40860	0.03020	13.5298	ENSMUSG00000035653	ENSG00000165379
1.05810	0.52870	2.00132	ENSMUSG00000059625	ENSG00000165643
0.55240	0.03190	17.3166	ENSMUSG00000055409	ENSG00000165973
0.40370	0.00170	237.471	ENSMUSG00000049630	ENSG00000165985
0.54360	0.03910	13.9028	ENSMUSG00000035681	ENSG00000166006
0.95320	0.03940	24.1929	ENSMUSG00000055003	ENSG00000166159
0.35730	0.01260	28.3571	ENSMUSG00000033676	ENSG00000166206
0.41090	0.02010	20.4428	ENSMUSG00000050321	ENSG00000166342
0.70070	0.06180	11.3382	ENSMUSG00000050908	ENSG00000166676
0.41790	0.00510	81.9412	ENSMUSG00000019146	ENSG00000166862
0.73270	0.05480	13.3704	ENSMUSG00000051243	ENSG00000167178
0.92280	0.18690	4.9374	ENSMUSG00000074155	ENSG00000167754
0.59510	0.09370	6.35112	ENSMUSG00000045731	ENSG00000168081
0.49280	0.02400	20.5333	ENSMUSG00000031883	ENSG00000168748
0.99830	0.20000	4.9915	ENSMUSG00000046337	ENSG00000168754
0.53690	0.04700	11.4234	ENSMUSG00000034098	ENSG00000168843
0.48370	0.01830	26.4317	ENSMUSG00000049583	ENSG00000168959
1.01810	0.11850	8.59156	ENSMUSG00000020591	ENSG00000169006
0.64760	0.29170	2.22009	ENSMUSG00000034151	ENSG00000169064
0.77370	0.04010	19.2943	ENSMUSG00000046182	ENSG00000169181
0.55450	0.10420	5.3215	ENSMUSG00000045629	ENSG00000169247
0.80080	0.07800	10.2667	ENSMUSG00000036353	ENSG00000169313
1.51830	0.16470	9.21858	ENSMUSG00000036760	ENSG00000169427
1.09570	0.08020	13.6621	ENSMUSG00000039358	ENSG00000169676
2.91060	0.30110	9.66656	ENSMUSG00000030793	ENSG00000169900
0.66080	0.02590	25.5135	ENSMUSG00000033510	ENSG00000169918
0.45460	0.04750	9.57053	ENSMUSG00000049176	ENSG00000169933
0.56910	0.24200	2.35165	ENSMUSG00000070866	ENSG00000170396
0.44960	0.04460	10.0807	ENSMUSG00000048834	ENSG00000170419
0.48220	0.03310	14.568	ENSMUSG00000022935	ENSG00000171189
0.73980	0.01700	43.5176	ENSMUSG00000061578	ENSG00000171435
0.61740	0.00850	72.6353	ENSMUSG00000038255	ENSG00000171532
0.51480	0.00750	68.64	ENSMUSG00000050272	ENSG00000171587
0.44200	0.06620	6.67674	ENSMUSG00000033805	ENSG00000172031
0.40600	0.01430	28.3916	ENSMUSG00000044067	ENSG00000172209
0.54780	0.22350	2.45101	ENSMUSG00000068205	ENSG00000172264
0.64580	0.08120	7.9532	ENSMUSG00000048721	ENSG00000172568
0.60560	0.10640	5.69173	ENSMUSG00000049109	ENSG00000172673
0.45780	0.03020	15.1589	ENSMUSG00000055782	ENSG00000173208
0.33760	0.01430	23.6084	ENSMUSG00000048004	ENSG00000173452
0.94900	0.03390	27.9941	ENSMUSG00000044177	ENSG00000173714
0.49450	0.06620	7.46979	ENSMUSG00000032394	ENSG00000174498
0.56080	0.06380	8.78997	ENSMUSG00000007944	ENSG00000174521
0.50360	0.06360	7.91824	ENSMUSG00000036972	ENSG00000174963
0.57690	0.17500	3.29657	ENSMUSG00000030889	ENSG00000175267
0.45390	0.03750	12.104	ENSMUSG00000021587	ENSG00000175426
0.70500	0.27540	2.55991	ENSMUSG00000029660	ENSG00000175664
0.99580	0.20450	4.86944	ENSMUSG00000074895	ENSG00000175766
0.80620	0.08310	9.70156	ENSMUSG00000050967	ENSG00000175874
0.61690	0.07160	8.61592	ENSMUSG00000089922	ENSG00000176165
0.36690	0.00900	40.7667	ENSMUSG00000020950	ENSG00000176165
0.56150	0.02950	19.0339	ENSMUSG00000052581	ENSG00000176204
1.13350	0.19810	5.72186	ENSMUSG00000055945	ENSG00000176381
0.73300	0.03400	21.5588	ENSMUSG00000048483	ENSG00000177108
0.28940	0.00270	107.185	ENSMUSG00000040724	ENSG00000177301
0.56970	0.04000	14.2425	ENSMUSG00000095930	ENSG00000177453
0.92470	0.16470	5.61445	ENSMUSG00000045509	ENSG00000178015
0.79370	0.25790	3.07755	ENSMUSG00000045174	ENSG00000178171
0.31570	0.01100	28.7	ENSMUSG00000075478	ENSG00000178235
0.68130	0.11340	6.00794	ENSMUSG00000044055	ENSG00000178602
0.70460	0.02800	25.1643	ENSMUSG00000044647	ENSG00000178662
0.91370	0.27880	3.27726	ENSMUSG00000042943	ENSG00000178965
1.33030	0.03680	36.1495	ENSMUSG00000000305	ENSG00000179242
0.72840	0.03190	22.8339	ENSMUSG00000046215	ENSG00000179673
1.58030	0.06960	22.7055	ENSMUSG00000036816	ENSG00000179774
0.73980	0.25720	2.87636	ENSMUSG00000021057	ENSG00000179841
0.57490	0.06990	8.22461	ENSMUSG00000024109	ENSG00000179915
0.68980	0.25110	2.74711	ENSMUSG00000063179	ENSG00000179988
0.30120	0.01280	23.5312	ENSMUSG00000046523	ENSG00000180332
0.84740	0.01830	46.306	ENSMUSG00000056306	ENSG00000180440
0.64940	0.01750	37.1086	ENSMUSG00000040495	ENSG00000180720
1.47880	0.03430	43.1137	ENSMUSG00000049112	ENSG00000180914
0.85750	0.01870	45.8556	ENSMUSG00000068696	ENSG00000181656
0.53120	0.00200	265.6	ENSMUSG00000053519	ENSG00000182132
0.40540	0.01270	31.9213	ENSMUSG00000042604	ENSG00000182255
0.72040	0.09930	7.25478	ENSMUSG00000024957	ENSG00000182450
0.87650	0.24500	3.57755	ENSMUSG00000074491	ENSG00000182566
0.61530	0.03410	18.044	ENSMUSG00000092083	ENSG00000182674
0.69270	0.38070	1.81954	ENSMUSG00000033061	ENSG00000182698
0.98190	0.06350	15.463	ENSMUSG00000040867	ENSG00000183092
0.62950	0.21830	2.88365	ENSMUSG00000022269	ENSG00000183654
0.42780	0.00350	122.229	ENSMUSG00000059187	ENSG00000183662
0.45390	0.03080	14.737	ENSMUSG00000062257	ENSG00000183715
0.48600	0.01700	28.5882	ENSMUSG00000051401	ENSG00000183775
0.70700	0.08040	8.79353	ENSMUSG00000057060	ENSG00000183780
0.47590	0.13760	3.45858	ENSMUSG00000044835	ENSG00000183831
0.77670	0.02600	29.8731	ENSMUSG00000075224	ENSG00000183908
0.41400	0.02090	19.8086	ENSMUSG00000056258	ENSG00000184156
0.60380	0.00440	137.227	ENSMUSG00000060882	ENSG00000184408
0.42900	0.00000	inf	ENSMUSG00000095139	ENSG00000184486
0.56610	0.04600	12.3065	ENSMUSG00000021478	ENSG00000184845
0.63700	0.14000	4.55	ENSMUSG00000045608	ENSG00000185610
0.48550	0.00270	179.815	ENSMUSG00000090125	ENSG00000185668
0.28260	0.03560	7.9382	ENSMUSG00000041014	ENSG00000185737
0.36410	0.06330	5.75197	ENSMUSG00000078307	ENSG00000185742
0.35980	0.02120	16.9717	ENSMUSG00000028033	ENSG00000185760
0.93960	0.09950	9.44322	ENSMUSG00000048281	ENSG00000186047
0.71200	0.02050	34.7317	ENSMUSG00000055078	ENSG00000186297
0.38530	0.09230	4.17443	ENSMUSG00000031224	ENSG00000186675
0.85620	0.00790	108.38	ENSMUSG00000041708	ENSG00000186732
0.70570	0.05180	13.6236	ENSMUSG00000039257	ENSG00000187135
1.10390	0.04570	24.1554	ENSMUSG00000007594	ENSG00000187664
0.58660	0.01840	31.8804	ENSMUSG00000040640	ENSG00000187672
0.73470	0.19830	3.70499	ENSMUSG00000058741	ENSG00000188368
0.21170	0.01110	19.0721	ENSMUSG00000069670	ENSG00000188580
0.72170	0.32520	2.21925	ENSMUSG00000100846	ENSG00000188674
0.58380	0.24150	2.41739	ENSMUSG00000044816	ENSG00000188674
0.50230	0.16550	3.03505	ENSMUSG00000070632	ENSG00000189195
0.52230	0.00700	74.6143	ENSMUSG00000053141	ENSG00000196090
0.41330	0.00250	165.32	ENSMUSG00000056755	ENSG00000196277
0.63160	0.00230	274.609	ENSMUSG00000003410	ENSG00000196361
1.16840	0.10980	10.6412	ENSMUSG00000025475	ENSG00000197177
0.66720	0.13370	4.99028	ENSMUSG00000050121	ENSG00000197430
0.64450	0.07540	8.54775	ENSMUSG00000024650	ENSG00000197901
1.42230	0.05190	27.4046	ENSMUSG00000047495	ENSG00000198010
0.46840	0.01560	30.0256	ENSMUSG00000004110	ENSG00000198216
0.59770	0.01380	43.3116	ENSMUSG00000044071	ENSG00000198673
0.51290	0.01520	33.7434	ENSMUSG00000003974	ENSG00000198822
0.75690	0.30330	2.49555	ENSMUSG00000050424	ENSG00000198883
0.33520	0.01100	30.4727	ENSMUSG00000036192	ENSG00000198963
ENSMUSG00000088499	ENSG00000202025	-nan		
0.85290	0.26800	3.18246	ENSMUSG00000047897	ENSG00000203877
0.89540	0.05290	16.9263	ENSMUSG00000041544	ENSG00000204624
0.53300	0.08510	6.26322	ENSMUSG00000076439	ENSG00000204655
1.98930	0.56450	3.524	ENSMUSG00000066756	ENSG00000204869
0.46680	0.03370	13.8516	ENSMUSG00000069372	ENSG00000205279
1.06630	0.01570	67.9172	ENSMUSG00000039830	ENSG00000205927
ENSMUSG00000084625	ENSG00000207217	-nan		
ENSMUSG00000076451	ENSG00000211574	-nan		
0.74150	0.11870	6.24684	ENSMUSG00000031937	ENSG00000214376
0.51990	0.04980	10.4398	ENSMUSG00000054901	ENSG00000214694
0.44570	0.08820	5.05329	ENSMUSG00000068745	ENSG00000221986
0.64990	0.09020	7.2051	ENSMUSG00000079654	ENSG00000224940
1.00290	0.07290	13.7572	ENSMUSG00000079278	ENSG00000224982
2.05060	0.55470	3.69677	ENSMUSG00000007827	ENSG00000230453
10.09050	0.78090	12.9216	ENSMUSG00000095294	ENSG00000230453
3.48060	1.01510	3.42882	ENSMUSG00000020481	ENSG00000230453
1.49800	0.60100	2.49251	ENSMUSG00000090808	ENSG00000230453
5.22110	0.80240	6.50685	ENSMUSG00000094421	ENSG00000230453
2.90240	0.64940	4.46936	ENSMUSG00000026774	ENSG00000230453
10.52000	0.77310	13.6076	ENSMUSG00000096265	ENSG00000230453
10.25300	0.78240	13.1046	ENSMUSG00000074449	ENSG00000230453
2.88210	0.75550	3.81482	ENSMUSG00000063932	ENSG00000230453
13.85360	0.74160	18.6807	ENSMUSG00000027157	ENSG00000230453
1.01480	0.17710	5.7301	ENSMUSG00000024365	ENSG00000231852
0.82080	0.11940	6.87437	ENSMUSG00000048070	ENSG00000233670
0.80290	0.02230	36.0045	ENSMUSG00000074872	ENSG00000233932
0.84150	0.02710	31.0517	ENSMUSG00000079598	ENSG00000236279
0.42620	0.02930	14.5461	ENSMUSG00000022494	ENSG00000237515
1.03660	0.12830	8.0795	ENSMUSG00000046204	ENSG00000240694
1.24620	0.29380	4.24166	ENSMUSG00000028971	ENSG00000241563
0.45140	0.01480	30.5	ENSMUSG00000044499	ENSG00000249853
0.58010	0.20710	2.80106	ENSMUSG00000056972	ENSG00000254585
0.64050	0.06060	10.5693	ENSMUSG00000040086	ENSG00000259030
0.68080	0.04360	15.6147	ENSMUSG00000042631	ENSG00000260903
1.09180	0.08540	12.7845	ENSMUSG00000096606	ENSG00000261594
