dS	dN	dN/dS	Mouse	Ensembl
0.67840	0.03840	17.6667	ENSMUSG00000014769	ENSG00000008018
0.37740	0.03370	11.1988	ENSMUSG00000038518	ENSG00000008083
0.96080	0.01880	51.1064	ENSMUSG00000029062	ENSG00000008128
0.90060	0.03740	24.0802	ENSMUSG00000029063	ENSG00000008130
0.99700	0.00420	237.381	ENSMUSG00000018001	ENSG00000008256
0.47750	0.11140	4.28636	ENSMUSG00000020570	ENSG00000008282
0.88080	0.07470	11.7912	ENSMUSG00000019590	ENSG00000008283
0.41040	0.01610	25.4907	ENSMUSG00000020859	ENSG00000008294
0.79040	0.07330	10.7831	ENSMUSG00000032526	ENSG00000008324
1.13160	0.08840	12.8009	ENSMUSG00000003199	ENSG00000008382
0.48180	0.01730	27.8497	ENSMUSG00000020038	ENSG00000008405
0.31240	0.01670	18.7066	ENSMUSG00000001911	ENSG00000008441
1.28680	0.08760	14.6895	ENSMUSG00000013846	ENSG00000008513
1.06210	0.13000	8.17	ENSMUSG00000032855	ENSG00000008710
0.62930	0.02690	23.3941	ENSMUSG00000017210	ENSG00000008838
0.59890	0.02140	27.986	ENSMUSG00000039414	ENSG00000008869
0.35960	0.02900	12.4	ENSMUSG00000027706	ENSG00000008952
0.65220	0.02680	24.3358	ENSMUSG00000028234	ENSG00000008988
0.23750	0.00680	34.9265	ENSMUSG00000068823	ENSG00000009307
0.53700	0.03710	14.4744	ENSMUSG00000039000	ENSG00000009335
0.45410	0.01160	39.1466	ENSMUSG00000028878	ENSG00000009780
0.53830	0.03930	13.6972	ENSMUSG00000019868	ENSG00000009844
0.56740	0.04240	13.3821	ENSMUSG00000002748	ENSG00000009954
0.26350	0.02260	11.6593	ENSMUSG00000038546	ENSG00000010017
0.49230	0.05670	8.68254	ENSMUSG00000026694	ENSG00000010165
0.26650	0.00460	57.9348	ENSMUSG00000017421	ENSG00000010244
0.53420	0.06590	8.10622	ENSMUSG00000025651	ENSG00000010256
0.40730	0.02250	18.1022	ENSMUSG00000003062	ENSG00000010270
0.75330	0.06060	12.4307	ENSMUSG00000030342	ENSG00000010278
0.45990	0.07300	6.3	ENSMUSG00000038252	ENSG00000010292
0.71990	0.02380	30.2479	ENSMUSG00000038271	ENSG00000010295
0.79350	0.06000	13.225	ENSMUSG00000021910	ENSG00000010322
0.71920	0.10590	6.79131	ENSMUSG00000042286	ENSG00000010327
0.95070	0.07620	12.4764	ENSMUSG00000011658	ENSG00000010361
0.57970	0.08130	7.13038	ENSMUSG00000035847	ENSG00000010404
0.29550	0.03210	9.20561	ENSMUSG00000000085	ENSG00000010803
0.31150	0.00260	119.808	ENSMUSG00000019843	ENSG00000010810
0.54910	0.06270	8.75758	ENSMUSG00000015501	ENSG00000010818
0.66130	0.09570	6.91014	ENSMUSG00000028668	ENSG00000011007
0.28880	0.00610	47.3443	ENSMUSG00000028670	ENSG00000011009
0.50600	0.01460	34.6575	ENSMUSG00000029016	ENSG00000011021
1.63900	0.15960	10.2694	ENSMUSG00000004931	ENSG00000011132
0.54590	0.05460	9.99817	ENSMUSG00000034121	ENSG00000011143
0.55350	0.03320	16.6717	ENSMUSG00000032540	ENSG00000011198
0.52670	0.04730	11.1353	ENSMUSG00000002625	ENSG00000011243
0.31680	0.01010	31.3663	ENSMUSG00000059474	ENSG00000011258
0.40650	0.10160	4.00098	ENSMUSG00000054079	ENSG00000011260
0.46000	0.06260	7.34824	ENSMUSG00000045078	ENSG00000011275
0.44960	0.07870	5.71283	ENSMUSG00000042298	ENSG00000011295
1.24510	0.01220	102.057	ENSMUSG00000006498	ENSG00000011304
0.53900	0.07270	7.41403	ENSMUSG00000035202	ENSG00000011376
0.34890	0.04750	7.34526	ENSMUSG00000030660	ENSG00000011405
0.65560	0.07250	9.04276	ENSMUSG00000024050	ENSG00000011451
0.37850	0.01300	29.1154	ENSMUSG00000035437	ENSG00000011454
0.61310	0.01030	59.5243	ENSMUSG00000003099	ENSG00000011485
1.21210	0.17430	6.9541	ENSMUSG00000030579	ENSG00000011600
0.57360	0.19510	2.94003	ENSMUSG00000030917	ENSG00000011638
0.85290	0.10520	8.10741	ENSMUSG00000003549	ENSG00000012061
0.70980	0.01220	58.1803	ENSMUSG00000021978	ENSG00000012232
0.73310	0.03270	22.419	ENSMUSG00000032349	ENSG00000012660
0.45680	0.05610	8.1426	ENSMUSG00000023055	ENSG00000012822
0.51000	0.07210	7.07351	ENSMUSG00000041712	ENSG00000012963
0.51720	0.01950	26.5231	ENSMUSG00000034761	ENSG00000012983
0.48600	0.00220	220.909	ENSMUSG00000030603	ENSG00000013275
0.92400	0.13950	6.62366	ENSMUSG00000029119	ENSG00000013288
0.59260	0.05890	10.0611	ENSMUSG00000018677	ENSG00000013306
0.69600	0.04500	15.4667	ENSMUSG00000030681	ENSG00000013364
0.83000	0.07030	11.8065	ENSMUSG00000028954	ENSG00000013374
0.50650	0.05480	9.2427	ENSMUSG00000026034	ENSG00000013441
0.32680	0.04950	6.60202	ENSMUSG00000021257	ENSG00000013523
0.46170	0.04490	10.2829	ENSMUSG00000060450	ENSG00000013561
0.93510	0.20740	4.50868	ENSMUSG00000019088	ENSG00000013563
0.81100	0.15820	5.12642	ENSMUSG00000035842	ENSG00000013573
0.71160	0.07150	9.95245	ENSMUSG00000042770	ENSG00000013583
0.69760	0.09540	7.31237	ENSMUSG00000024833	ENSG00000014138
0.68680	0.18440	3.72451	ENSMUSG00000055452	ENSG00000014164
0.69220	0.18320	3.77838	ENSMUSG00000075600	ENSG00000014164
0.88310	0.05170	17.0812	ENSMUSG00000024942	ENSG00000014216
0.39520	0.02020	19.5644	ENSMUSG00000020321	ENSG00000014641
0.46920	0.05610	8.36364	ENSMUSG00000029221	ENSG00000014824
0.43570	0.07810	5.57875	ENSMUSG00000045934	ENSG00000014914
0.41410	0.05630	7.35524	ENSMUSG00000040018	ENSG00000014919
0.60200	0.00970	62.0619	ENSMUSG00000021156	ENSG00000015171
0.72430	0.26230	2.76134	ENSMUSG00000004446	ENSG00000015475
0.25320	0.00710	35.662	ENSMUSG00000037236	ENSG00000015479
0.28760	0.00000	inf	ENSMUSG00000099703	ENSG00000015479
0.50940	0.03200	15.9187	ENSMUSG00000020868	ENSG00000015532
0.63370	0.06770	9.36041	ENSMUSG00000053838	ENSG00000015676
0.36010	0.04560	7.89693	ENSMUSG00000021916	ENSG00000016864
0.40340	0.01530	26.366	ENSMUSG00000032570	ENSG00000017260
0.52800	0.03780	13.9683	ENSMUSG00000024096	ENSG00000017797
0.52520	0.03420	15.3567	ENSMUSG00000029291	ENSG00000018189
0.33220	0.04230	7.85343	ENSMUSG00000042410	ENSG00000018510
0.51530	0.05690	9.05624	ENSMUSG00000006423	ENSG00000018610
0.49890	0.09080	5.49449	ENSMUSG00000024078	ENSG00000018699
0.75440	0.11940	6.31826	ENSMUSG00000024610	ENSG00000019582
0.32180	0.00320	100.562	ENSMUSG00000030967	ENSG00000019995
0.45140	0.00910	49.6044	ENSMUSG00000028833	ENSG00000020129
0.70260	0.17380	4.04258	ENSMUSG00000079049	ENSG00000021355
0.71030	0.14140	5.02334	ENSMUSG00000051029	ENSG00000021355
0.68750	0.11000	6.25	ENSMUSG00000044734	ENSG00000021355
0.40440	0.03980	10.1608	ENSMUSG00000024068	ENSG00000021574
1.14640	0.07220	15.8781	ENSMUSG00000037606	ENSG00000021762
0.62040	0.02710	22.893	ENSMUSG00000040383	ENSG00000021776
0.15760	0.02070	7.61353	ENSMUSG00000023092	ENSG00000022267
0.76330	0.06010	12.7005	ENSMUSG00000027502	ENSG00000022277
0.26930	0.03700	7.27838	ENSMUSG00000041740	ENSG00000022840
0.73310	0.43480	1.68606	ENSMUSG00000021271	ENSG00000022976
0.44560	0.03610	12.3435	ENSMUSG00000024982	ENSG00000023041
0.98730	0.15020	6.57324	ENSMUSG00000038650	ENSG00000023191
0.36150	0.02800	12.9107	ENSMUSG00000025968	ENSG00000023228
0.43090	0.05310	8.11488	ENSMUSG00000025907	ENSG00000023287
0.43990	0.03260	13.4939	ENSMUSG00000028343	ENSG00000023318
0.50150	0.04170	12.0264	ENSMUSG00000032786	ENSG00000023330
0.71100	0.13430	5.29412	ENSMUSG00000021113	ENSG00000023608
0.65010	0.03990	16.2932	ENSMUSG00000030225	ENSG00000023697
0.48770	0.01050	46.4476	ENSMUSG00000030224	ENSG00000023734
0.48590	0.04950	9.81616	ENSMUSG00000015745	ENSG00000023902
0.31290	0.01990	15.7236	ENSMUSG00000028124	ENSG00000023909
0.68030	0.05580	12.1918	ENSMUSG00000023977	ENSG00000024048
0.73000	0.03470	21.0375	ENSMUSG00000059554	ENSG00000024862
0.52470	0.02460	21.3293	ENSMUSG00000028278	ENSG00000025039
0.38020	0.02400	15.8417	ENSMUSG00000019878	ENSG00000025156
0.45180	0.05520	8.18478	ENSMUSG00000038116	ENSG00000025293
0.57500	0.05250	10.9524	ENSMUSG00000002108	ENSG00000025434
1.07640	0.11770	9.14528	ENSMUSG00000022615	ENSG00000025708
0.79520	0.11460	6.93892	ENSMUSG00000008690	ENSG00000025770
0.78650	0.10860	7.24217	ENSMUSG00000090957	ENSG00000025770
0.36080	0.05850	6.16752	ENSMUSG00000018322	ENSG00000025772
0.38990	0.01700	22.9353	ENSMUSG00000019802	ENSG00000025796
0.35520	0.00360	98.6667	ENSMUSG00000003731	ENSG00000025800
0.46810	0.01110	42.1712	ENSMUSG00000026728	ENSG00000026025
0.77620	0.21690	3.57861	ENSMUSG00000095687	ENSG00000026297
0.77620	0.21690	3.57861	ENSMUSG00000094724	ENSG00000026297
0.70750	0.39730	1.78077	ENSMUSG00000020009	ENSG00000027697
0.68010	0.03730	18.2332	ENSMUSG00000021504	ENSG00000027847
0.66300	0.25270	2.62366	ENSMUSG00000028599	ENSG00000028137
0.88390	0.03990	22.1529	ENSMUSG00000057649	ENSG00000028310
0.47070	0.03680	12.7908	ENSMUSG00000032382	ENSG00000028528
0.35960	0.01670	21.5329	ENSMUSG00000037608	ENSG00000029363
0.33870	0.03480	9.73276	ENSMUSG00000048833	ENSG00000029364
0.41410	0.01980	20.9141	ENSMUSG00000020817	ENSG00000029725
0.44410	0.03890	11.4165	ENSMUSG00000051329	ENSG00000030066
0.77720	0.13070	5.94644	ENSMUSG00000057789	ENSG00000030110
0.79580	0.15180	5.24242	ENSMUSG00000034708	ENSG00000030582
0.42140	0.05070	8.31164	ENSMUSG00000036501	ENSG00000031003
0.44270	0.02070	21.3865	ENSMUSG00000068739	ENSG00000031698
1.05950	0.11050	9.58824	ENSMUSG00000002372	ENSG00000031823
0.73630	0.03210	22.9377	ENSMUSG00000036613	ENSG00000032389
0.85100	0.02310	36.8398	ENSMUSG00000004565	ENSG00000032444
0.60680	0.12880	4.71118	ENSMUSG00000039427	ENSG00000033011
0.61290	0.13830	4.43167	ENSMUSG00000029427	ENSG00000033030
0.40480	0.00520	77.8462	ENSMUSG00000028953	ENSG00000033050
0.41270	0.02290	18.0218	ENSMUSG00000038181	ENSG00000033100
0.45000	0.05520	8.15217	ENSMUSG00000035898	ENSG00000033178
0.46770	0.03730	12.5389	ENSMUSG00000004508	ENSG00000033327
0.56280	0.01870	30.0963	ENSMUSG00000019302	ENSG00000033627
0.39770	0.01020	38.9902	ENSMUSG00000032405	ENSG00000033800
0.60480	0.01610	37.5652	ENSMUSG00000018932	ENSG00000034152
0.45330	0.00000	inf	ENSMUSG00000050347	ENSG00000034510
0.50360	0.03160	15.9367	ENSMUSG00000022280	ENSG00000034677
0.42870	0.00000	inf	ENSMUSG00000031950	ENSG00000034713
0.63340	0.03920	16.1582	ENSMUSG00000020669	ENSG00000035115
0.56630	0.06650	8.51579	ENSMUSG00000055416	ENSG00000035141
0.53230	0.04360	12.2087	ENSMUSG00000057497	ENSG00000035141
0.37230	0.00310	120.097	ENSMUSG00000021823	ENSG00000035403
0.52310	0.05440	9.61581	ENSMUSG00000028245	ENSG00000035681
0.34080	0.01610	21.1677	ENSMUSG00000015961	ENSG00000035687
0.58410	0.00760	76.8553	ENSMUSG00000017466	ENSG00000035862
0.57830	0.09670	5.98035	ENSMUSG00000029191	ENSG00000035928
0.50910	0.02830	17.9894	ENSMUSG00000022749	ENSG00000036054
0.26730	0.00230	116.217	ENSMUSG00000004364	ENSG00000036257
0.55040	0.01040	52.9231	ENSMUSG00000045007	ENSG00000037042
0.74650	0.07080	10.5438	ENSMUSG00000021595	ENSG00000037474
0.46300	0.02240	20.6696	ENSMUSG00000028920	ENSG00000037637
0.74830	0.08090	9.24969	ENSMUSG00000004996	ENSG00000037757
0.44480	0.10420	4.26871	ENSMUSG00000031521	ENSG00000038002
0.65590	0.19450	3.37224	ENSMUSG00000061755	ENSG00000038219
0.47810	0.02970	16.0976	ENSMUSG00000042032	ENSG00000038274
0.49720	0.02250	22.0978	ENSMUSG00000036270	ENSG00000038358
0.58790	0.04410	13.3311	ENSMUSG00000068663	ENSG00000038532
0.68070	0.01140	59.7105	ENSMUSG00000016018	ENSG00000039123
0.48250	0.15380	3.13719	ENSMUSG00000021706	ENSG00000039319
0.55180	0.13760	4.01017	ENSMUSG00000038604	ENSG00000039523
0.97220	0.10960	8.87044	ENSMUSG00000002963	ENSG00000039650
0.64030	0.06940	9.22622	ENSMUSG00000028744	ENSG00000040487
0.74530	0.10510	7.09134	ENSMUSG00000005949	ENSG00000040531
0.31150	0.03470	8.97695	ENSMUSG00000018572	ENSG00000040633
0.76470	0.06010	12.7238	ENSMUSG00000026113	ENSG00000040933
0.44800	0.00530	84.5283	ENSMUSG00000032301	ENSG00000041357
0.66210	0.10090	6.56194	ENSMUSG00000022538	ENSG00000041802
0.86180	0.10930	7.88472	ENSMUSG00000023249	ENSG00000041880
1.18580	0.25320	4.68325	ENSMUSG00000039759	ENSG00000041988
0.75610	0.01920	39.3802	ENSMUSG00000031935	ENSG00000042429
0.55600	0.11730	4.73998	ENSMUSG00000056666	ENSG00000042445
0.66160	0.00000	inf	ENSMUSG00000008036	ENSG00000042753
0.21050	0.00350	60.1429	ENSMUSG00000027708	ENSG00000043093
0.51120	0.04190	12.2005	ENSMUSG00000020387	ENSG00000043143
0.70730	0.11890	5.9487	ENSMUSG00000038545	ENSG00000044090
0.38890	0.00310	125.452	ENSMUSG00000037815	ENSG00000044115
0.47800	0.04960	9.6371	ENSMUSG00000031295	ENSG00000044446
0.35530	0.00700	50.7571	ENSMUSG00000026864	ENSG00000044574
0.63650	0.21150	3.00946	ENSMUSG00000040621	ENSG00000046647
0.54230	0.21000	2.58238	ENSMUSG00000040586	ENSG00000046651
0.58870	0.02190	26.8813	ENSMUSG00000021147	ENSG00000047056
0.40060	0.01390	28.8201	ENSMUSG00000034653	ENSG00000047188
0.49680	0.00650	76.4308	ENSMUSG00000033793	ENSG00000047249
0.53750	0.00050	1075	ENSMUSG00000029250	ENSG00000047315
0.73320	0.15220	4.81735	ENSMUSG00000034858	ENSG00000047346
0.60430	0.02900	20.8379	ENSMUSG00000006005	ENSG00000047410
0.68030	0.16560	4.10809	ENSMUSG00000032743	ENSG00000047578
0.49010	0.11570	4.23596	ENSMUSG00000057531	ENSG00000047579
0.39460	0.24930	1.58283	ENSMUSG00000032479	ENSG00000047849
0.51050	0.05410	9.43623	ENSMUSG00000032267	ENSG00000048028
0.53110	0.01630	32.5828	ENSMUSG00000025875	ENSG00000048140
0.57600	0.04450	12.9438	ENSMUSG00000025869	ENSG00000048162
0.36690	0.03210	11.4299	ENSMUSG00000022292	ENSG00000048392
0.24270	0.02670	9.08989	ENSMUSG00000039841	ENSG00000048405
0.67090	0.11080	6.05505	ENSMUSG00000071669	ENSG00000048471
0.72520	0.11680	6.2089	ENSMUSG00000034729	ENSG00000048544
0.54960	0.03540	15.5254	ENSMUSG00000020220	ENSG00000048707
0.31680	0.01530	20.7059	ENSMUSG00000038014	ENSG00000048828
0.28510	0.04560	6.25219	ENSMUSG00000056211	ENSG00000048991
0.82940	0.09040	9.17478	ENSMUSG00000028980	ENSG00000049239
0.66360	0.04880	13.5984	ENSMUSG00000028955	ENSG00000049245
0.94930	0.04250	22.3365	ENSMUSG00000023104	ENSG00000049541
0.40670	0.03090	13.1618	ENSMUSG00000069729	ENSG00000049618
0.66920	0.03540	18.904	ENSMUSG00000021610	ENSG00000049656
0.55690	0.16860	3.30308	ENSMUSG00000021665	ENSG00000049860
0.60150	0.01250	48.12	ENSMUSG00000005078	ENSG00000050130
0.68100	0.18750	3.632	ENSMUSG00000056197	ENSG00000050130
0.76700	0.17610	4.35548	ENSMUSG00000021371	ENSG00000050393
0.39670	0.11530	3.44059	ENSMUSG00000037353	ENSG00000050426
0.42740	0.00440	97.1364	ENSMUSG00000020366	ENSG00000050748
0.28210	0.03430	8.22449	ENSMUSG00000044465	ENSG00000051009
0.45570	0.06040	7.5447	ENSMUSG00000031770	ENSG00000051108
1.19770	0.05690	21.0492	ENSMUSG00000003573	ENSG00000051128
0.53500	0.02020	26.4851	ENSMUSG00000032462	ENSG00000051382
1.49370	0.06380	23.4122	ENSMUSG00000006519	ENSG00000051523
0.48680	0.09290	5.24004	ENSMUSG00000019853	ENSG00000051620
0.56010	0.04550	12.3099	ENSMUSG00000035049	ENSG00000052749
0.92210	0.06180	14.9207	ENSMUSG00000031604	ENSG00000052802
0.44720	0.02250	19.8756	ENSMUSG00000027194	ENSG00000052841
0.36430	0.02210	16.4842	ENSMUSG00000033713	ENSG00000053254
0.80600	0.06270	12.8549	ENSMUSG00000028743	ENSG00000053371
0.50210	0.03600	13.9472	ENSMUSG00000028741	ENSG00000053372
1.58360	0.06780	23.3569	ENSMUSG00000002395	ENSG00000053501
0.43620	0.08380	5.20525	ENSMUSG00000036291	ENSG00000053770
0.53630	0.03510	15.2792	ENSMUSG00000029176	ENSG00000053900
0.56400	0.01050	53.7143	ENSMUSG00000028847	ENSG00000054116
0.41260	0.03740	11.0321	ENSMUSG00000043962	ENSG00000054118
0.85170	0.10210	8.34182	ENSMUSG00000036504	ENSG00000054148
0.43920	0.04920	8.92683	ENSMUSG00000039219	ENSG00000054267
0.42040	0.01400	30.0286	ENSMUSG00000063077	ENSG00000054523
0.68230	0.05460	12.4963	ENSMUSG00000051864	ENSG00000054611
0.63920	0.19010	3.36244	ENSMUSG00000063450	ENSG00000054654
0.19280	0.00000	inf	ENSMUSG00000029461	ENSG00000054965
0.55430	0.10120	5.47727	ENSMUSG00000021003	ENSG00000054983
0.39280	0.02250	17.4578	ENSMUSG00000026020	ENSG00000055044
0.20550	0.01160	17.7155	ENSMUSG00000040842	ENSG00000055070
0.46250	0.00060	770.833	ENSMUSG00000029686	ENSG00000055130
0.32350	0.02590	12.4903	ENSMUSG00000015755	ENSG00000055208
0.47510	0.16420	2.89342	ENSMUSG00000040006	ENSG00000055211
0.76850	0.15530	4.94849	ENSMUSG00000033909	ENSG00000055483
0.42230	0.07780	5.42802	ENSMUSG00000038056	ENSG00000055609
0.21730	0.01010	21.5149	ENSMUSG00000020594	ENSG00000055917
0.77810	0.08330	9.34094	ENSMUSG00000025208	ENSG00000055950
0.37210	0.05090	7.31041	ENSMUSG00000038005	ENSG00000056050
0.29410	0.01070	27.486	ENSMUSG00000022201	ENSG00000056097
0.59600	0.07560	7.8836	ENSMUSG00000026875	ENSG00000056558
0.26070	0.02360	11.0466	ENSMUSG00000075376	ENSG00000056586
0.52900	0.01780	29.7191	ENSMUSG00000021218	ENSG00000057608
0.36000	0.01510	23.8411	ENSMUSG00000038160	ENSG00000057663
0.42170	0.00850	49.6118	ENSMUSG00000028669	ENSG00000057757
0.36800	0.03100	11.871	ENSMUSG00000037400	ENSG00000058063
0.54170	0.00050	1083.4	ENSMUSG00000030082	ENSG00000058262
0.50380	0.04060	12.4089	ENSMUSG00000019907	ENSG00000058272
1.23090	0.09320	13.2071	ENSMUSG00000040860	ENSG00000058453
0.55720	0.03940	14.1421	ENSMUSG00000030880	ENSG00000058600
0.54460	0.08680	6.27419	ENSMUSG00000026463	ENSG00000058668
0.64800	0.07060	9.17847	ENSMUSG00000057375	ENSG00000058799
1.50660	0.17020	8.85194	ENSMUSG00000040097	ENSG00000059122
0.54330	0.02440	22.2664	ENSMUSG00000025007	ENSG00000059573
0.82870	0.16620	4.98616	ENSMUSG00000090290	ENSG00000059588
1.18730	0.05940	19.9882	ENSMUSG00000001156	ENSG00000059728
0.43410	0.00630	68.9048	ENSMUSG00000020015	ENSG00000059758
0.73990	0.10840	6.82565	ENSMUSG00000003153	ENSG00000059804
1.03470	0.11930	8.67309	ENSMUSG00000033323	ENSG00000060069
0.40440	0.07720	5.23834	ENSMUSG00000045962	ENSG00000060237
0.41090	0.02190	18.7626	ENSMUSG00000020074	ENSG00000060339
1.50110	0.38490	3.89997	ENSMUSG00000049401	ENSG00000060491
0.52910	0.00790	66.9747	ENSMUSG00000074088	ENSG00000060688
0.41060	0.02610	15.7318	ENSMUSG00000023861	ENSG00000060762
0.50000	0.07890	6.33714	ENSMUSG00000010651	ENSG00000060971
0.51450	0.08320	6.18389	ENSMUSG00000036138	ENSG00000060971
0.52460	0.05520	9.50362	ENSMUSG00000022475	ENSG00000061273
0.90730	0.14890	6.09335	ENSMUSG00000040112	ENSG00000061794
0.72990	0.06080	12.0049	ENSMUSG00000029439	ENSG00000061936
0.68790	0.02640	26.0568	ENSMUSG00000022791	ENSG00000061938
0.65130	0.02590	25.1467	ENSMUSG00000034602	ENSG00000061987
0.32900	0.02060	15.9709	ENSMUSG00000032745	ENSG00000062194
0.39280	0.05260	7.46768	ENSMUSG00000046934	ENSG00000062485
0.45560	0.02940	15.4966	ENSMUSG00000005683	ENSG00000062485
0.58950	0.09020	6.53548	ENSMUSG00000020477	ENSG00000062582
0.83020	0.05650	14.6938	ENSMUSG00000017670	ENSG00000062598
0.35680	0.03100	11.5097	ENSMUSG00000041408	ENSG00000062650
0.31240	0.03000	10.4133	ENSMUSG00000018171	ENSG00000062716
