Ensembl Gene ID	RefSeq ncRNA [e.g. NR_002834]	RefSeq ncRNA predicted [e.g. XR_108264]	Transcript Start (bp)	Transcript End (bp)
ENSG00000001631			92237686	92245914
ENSG00000001631			92237729	92245871
ENSG00000001631			92240849	92244149
ENSG00000001631			92241047	92245914
ENSG00000001631			92241058	92245943
ENSG00000001631			92241081	92245915
ENSG00000001631			92241141	92245943
ENSG00000001631			92242034	92246166
ENSG00000001631			92242061	92245930
ENSG00000001631			92242101	92245912
ENSG00000001631			92244050	92245924
ENSG00000001631			92245110	92245914
ENSG00000001631			92198969	92246100
ENSG00000001631			92200373	92245853
ENSG00000002330			64269830	64284639
ENSG00000002330			64269834	64284669
ENSG00000002330			64270001	64284369
ENSG00000002330			64270256	64284653
ENSG00000002330			64270269	64271868
ENSG00000002330			64270308	64272856
ENSG00000002330			64276761	64284704
ENSG00000002549			17577192	17607968
ENSG00000002549			17577426	17582152
ENSG00000002549			17577452	17582689
ENSG00000002549			17577495	17607934
ENSG00000002549			17577497	17585456
ENSG00000002549			17582380	17585051
ENSG00000002549			17583431	17586067
ENSG00000002549			17583602	17606884
ENSG00000002549			17584801	17604667
ENSG00000002549			17585769	17607972
ENSG00000002549			17577304	17607967
ENSG00000002586			2691179	2741309
ENSG00000002586			2691276	2741101
ENSG00000002586			2691280	2733667
ENSG00000002586			2691310	2733672
ENSG00000002586			2691313	2741290
ENSG00000002586			2691361	2692250
ENSG00000002586			2691361	2740804
ENSG00000002586			2691500	2726373
ENSG00000002586			2717374	2726363
ENSG00000002586			2719068	2723364
ENSG00000002586			2726341	2741125
ENSG00000002586			2691187	2741300
ENSG00000002822			1815793	1872756
ENSG00000002822			1815794	2232945
ENSG00000002822			1815794	2232974
ENSG00000002822			1815794	2233243
ENSG00000002822			1815795	1817085
ENSG00000002822			1815795	1829664
ENSG00000002822			1815816	1817499
ENSG00000002822			1816082	1980791
ENSG00000002822			1898200	1940549
ENSG00000002822			1957629	2080013
ENSG00000002822			1980486	2109601
ENSG00000002822			2014506	2107708
ENSG00000002822			2069194	2089251
ENSG00000002822			2069194	2175385
ENSG00000002822			2069194	2193475
ENSG00000002822			2148374	2213234
ENSG00000002822			2200265	2215927
ENSG00000002822			2209948	2218043
ENSG00000002822			2213212	2223628
ENSG00000002822			2215957	2225598
ENSG00000002822			2219353	2230661
ENSG00000002822			2222575	2232945
ENSG00000002822			1815794	2230418
ENSG00000002834			38869859	38921770
ENSG00000002834			38870031	38919326
ENSG00000002834			38870061	38899200
ENSG00000002834			38870061	38919175
ENSG00000002834			38873890	38915141
ENSG00000002834			38890234	38915129
ENSG00000002834			38914397	38916837
ENSG00000002834			38869859	38921769
ENSG00000002834			38870143	38921761
ENSG00000002919			48103357	48119164
ENSG00000002919			48107549	48119008
ENSG00000002919			48107549	48121808
ENSG00000002919			48107549	48122135
ENSG00000002919			48107558	48123074
ENSG00000002919			48107560	48112455
ENSG00000002919			48107576	48121886
ENSG00000002919			48107585	48122743
ENSG00000002919			48107603	48121288
ENSG00000002919			48107788	48121887
ENSG00000002919			48107894	48121458
ENSG00000002919			48111949	48119179
ENSG00000002919			48112566	48113563
ENSG00000002933			150800403	150805109
ENSG00000002933			150800543	150805120
ENSG00000002933			150800788	150805118
ENSG00000002933			150800798	150802289
ENSG00000002933			150801534	150804936
ENSG00000002933			150801695	150805118
ENSG00000002933			150801758	150803808
ENSG00000002933			150802056	150805114
ENSG00000002933			150803219	150805113
ENSG00000002933			150803304	150805112
ENSG00000002933			150803619	150804681
ENSG00000003056			8940363	8943420
ENSG00000003056			8940363	8949636
ENSG00000003056			8940365	8949955
ENSG00000003056			8940751	8942517
ENSG00000003056			8941649	8946368
ENSG00000003056			8942179	8943886
ENSG00000003056			8942451	8946240
ENSG00000003056			8943296	8945479
ENSG00000003056			8943825	8949735
ENSG00000003056			8945237	8949610
ENSG00000003056			8945433	8949645
ENSG00000003056			8945485	8946848
ENSG00000003056			8940364	8949761
ENSG00000003402			201116104	201176687
ENSG00000003402			201116154	201164162
ENSG00000003402			201116167	201141598
ENSG00000003402			201116207	201164279
ENSG00000003402			201116239	201154576
ENSG00000003402			201116407	201139877
ENSG00000003402			201116837	201133134
ENSG00000003402			201117039	201130059
ENSG00000003402			201118491	201164110
ENSG00000003402			201118523	201119177
ENSG00000003402			201118664	201160455
ENSG00000003402			201122477	201130053
ENSG00000003402			201129329	201133102
ENSG00000003402			201129503	201141602
ENSG00000003402			201129643	201136281
ENSG00000003402			201129866	201163559
ENSG00000003402			201129977	201140661
ENSG00000003402			201132779	201140735
ENSG00000003402			201132872	201141407
ENSG00000003402			201132953	201149835
ENSG00000003402			201132984	201163157
ENSG00000003402			201133030	201136414
ENSG00000003402			201140186	201163973
ENSG00000003402			201148951	201150355
ENSG00000003402			201133036	201160943
ENSG00000003509			37231631	37247576
ENSG00000003509			37231663	37249160
ENSG00000003509			37231666	37249160
ENSG00000003509			37231679	37249160
ENSG00000003509			37231689	37246186
ENSG00000003509			37231767	37241628
ENSG00000003509			37231767	37241956
ENSG00000003509			37231776	37246195
ENSG00000003509			37231820	37246188
ENSG00000003509			37231842	37241739
ENSG00000003509			37241939	37248420
ENSG00000003509			37243921	37248387
ENSG00000003509			37247456	37253403
ENSG00000003756			50088908	50119021
ENSG00000003756			50088919	50102194
ENSG00000003756			50088919	50103107
ENSG00000003756			50088954	50100054
ENSG00000003756			50088954	50100172
ENSG00000003756			50088955	50100010
ENSG00000003756			50088963	50118957
ENSG00000003756			50088975	50094330
ENSG00000003756			50089881	50093851
ENSG00000003756			50090370	50100004
ENSG00000003756			50093718	50108305
ENSG00000003756			50102337	50108255
ENSG00000003756			50102726	50105614
ENSG00000003756			50104577	50106801
ENSG00000003756			50104974	50110757
ENSG00000003756			50106740	50109823
ENSG00000003756			50107029	50113489
ENSG00000003756			50107481	50110892
ENSG00000003756			50112064	50113492
ENSG00000003756			50112614	50115943
ENSG00000003756			50113362	50114242
ENSG00000003756			50114029	50117379
ENSG00000003756			50114047	50116180
ENSG00000003756			50114251	50116231
ENSG00000003756			50115352	50118570
ENSG00000003756			50116545	50117175
ENSG00000004059			127588345	127591705
ENSG00000004059			127588386	127591681
ENSG00000004059			127588403	127591088
ENSG00000004059			127588405	127589574
ENSG00000004059			127588413	127591112
ENSG00000004059			127589045	127589831
ENSG00000004142			28347177	28357522
ENSG00000004142			28347661	28357463
ENSG00000004399			129555175	129606818
ENSG00000004399			129555214	129557034
ENSG00000004399			129555214	129557223
ENSG00000004399			129555214	129558697
ENSG00000004399			129555218	129565991
ENSG00000004399			129556617	129561056
ENSG00000004399			129558536	129560942
ENSG00000004399			129559165	129560414
ENSG00000004399			129562473	129563213
ENSG00000004399			129563094	129566166
ENSG00000004399			129569189	129571204
ENSG00000004399			129570684	129571723
ENSG00000004399			129570872	129571858
ENSG00000004399			129571540	129572982
ENSG00000004399			129574336	129578548
ENSG00000004399			129583631	129586685
ENSG00000004399			129585952	129589527
ENSG00000004455			33007984	33036870
ENSG00000004455			33010478	33036840
ENSG00000004455			33010519	33012357
ENSG00000004455			33010631	33013287
ENSG00000004455			33010755	33036886
ENSG00000004455			33013044	33036877
ENSG00000004455			33013044	33036992
ENSG00000004455			33013207	33036902
ENSG00000004455			33014365	33021690
ENSG00000004455			33014483	33021703
ENSG00000004455			33019683	33036844
ENSG00000004455			33021607	33080996
ENSG00000004455			33024120	33036868
ENSG00000004478			2794953	2805423
ENSG00000004478			2795069	2797282
ENSG00000004478			2795657	2797202
ENSG00000004478			2796681	2797871
ENSG00000004478			2798767	2800465
ENSG00000004478			2801178	2801803
ENSG00000004478			2803197	2805410
ENSG00000004487			23019448	23083689
ENSG00000004487			23019493	23083688
ENSG00000004487			23050425	23055418
ENSG00000004487			23072124	23079595
ENSG00000004487			23077234	23083354
ENSG00000004487			23080873	23083682
ENSG00000004534			49940007	50077249
ENSG00000004534			49940033	50077252
ENSG00000004534			49940041	50077248
ENSG00000004534			49940063	50077248
ENSG00000004534			49940074	50066442
ENSG00000004534			49940097	49963027
ENSG00000004534			49940102	50077248
ENSG00000004534			49940140	50077247
ENSG00000004534			49940151	50057853
ENSG00000004534			49940186	50100045
ENSG00000004534			49940461	49967654
ENSG00000004534			49940539	49967358
ENSG00000004534			49940685	49967365
ENSG00000004534			49981561	50057806
ENSG00000004534			49999452	50058915
ENSG00000004534			50047109	50058466
ENSG00000004534			50054016	50057847
ENSG00000004534			50059343	50061172
ENSG00000004534			50059698	50065061
ENSG00000004534			50066392	50077249
ENSG00000004660			3860315	3890743
ENSG00000004660			3860315	3893044
ENSG00000004660			3865157	3893044
ENSG00000004660			3878831	3894891
ENSG00000004700			21468911	21501593
ENSG00000004700			21469802	21501551
ENSG00000004700			21483442	21501669
ENSG00000004700			21483477	21501669
ENSG00000004700			21490199	21501595
ENSG00000004700			21490274	21501663
ENSG00000004700			21490303	21501655
ENSG00000004700			21490375	21501593
ENSG00000004776			35754568	35758079
ENSG00000004776			35755383	35757009
ENSG00000004776			35754568	35757029
ENSG00000004777			35774532	35778549
ENSG00000004777			35775515	35788822
ENSG00000004777			35775543	35780214
ENSG00000004777			35775575	35788822
ENSG00000004777			35777585	35779991
ENSG00000004777			35781170	35784393
ENSG00000004777			35782373	35788799
ENSG00000004777			35782473	35784537
ENSG00000004777			35782625	35782912
ENSG00000004777			35782641	35788822
ENSG00000004777			35784832	35786598
ENSG00000004777			35784907	35786750
ENSG00000004777			35775602	35788670
ENSG00000004779			23581002	23596356
ENSG00000004779			23581014	23596277
ENSG00000004779			23581033	23596303
ENSG00000004779			23581871	23596291
ENSG00000004779			23582335	23591153
ENSG00000004799			95583499	95596491
ENSG00000004799			95584375	95592760
ENSG00000004799			95586680	95587545
ENSG00000004799			95587484	95589717
ENSG00000004799			95594771	95596460
ENSG00000004864			96120220	96322093
ENSG00000004864			96120956	96121998
ENSG00000004864			96146554	96185011
ENSG00000004864			96169868	96189379
ENSG00000004864			96170044	96184574
ENSG00000004864			96193148	96322136
ENSG00000004864			96296898	96309684
ENSG00000004864			96120221	96322147
ENSG00000004897			47117703	47189266
ENSG00000004897			47120255	47189176
ENSG00000004897			47120610	47123895
ENSG00000004897			47120771	47189251
ENSG00000004897			47120810	47137244
ENSG00000004897			47120880	47189224
ENSG00000004897			47122552	47189264
ENSG00000004897			47137152	47142381
ENSG00000004897			47141844	47189261
ENSG00000004897			47142428	47169977
ENSG00000004897			47143883	47156715
ENSG00000004897			47151814	47157267
ENSG00000004897			47154698	47181605
ENSG00000004897			47154755	47172047
ENSG00000004897			47156913	47189252
ENSG00000004897			47157055	47189261
ENSG00000004897			47157060	47188936
ENSG00000004897			47157230	47189422
ENSG00000004897			47181282	47189252
ENSG00000004961			11111301	11123078
ENSG00000004961			11111342	11121879
ENSG00000004961			11111365	11121879
ENSG00000004975			7225341	7234545
ENSG00000004975			7225455	7234318
ENSG00000004975			7226137	7229035
ENSG00000004975			7226656	7228042
ENSG00000004975			7227149	7227827
ENSG00000004975			7227238	7228384
ENSG00000004975			7227863	7229267
ENSG00000004975			7227977	7234308
ENSG00000004975			7228007	7234061
ENSG00000004975			7228600	7229406
ENSG00000004975			7228762	7229391
ENSG00000004975			7229153	7230391
ENSG00000004975			7229287	7234223
ENSG00000004975			7229544	7230779
ENSG00000004975			7230123	7234517
ENSG00000005007			18831938	18868236
ENSG00000005007			18832001	18868229
ENSG00000005007			18833130	18850691
ENSG00000005007			18848133	18850776
ENSG00000005007			18849008	18852182
ENSG00000005007			18849008	18852296
ENSG00000005007			18849082	18852236
ENSG00000005007			18849166	18852254
ENSG00000005007			18849813	18852194
ENSG00000005007			18852998	18855157
ENSG00000005007			18854913	18855680
ENSG00000005007			18859383	18868229
ENSG00000005007			18862933	18868229
ENSG00000005022			119468400	119471319
ENSG00000005022			119468422	119470155
ENSG00000005022			119469277	119470940
ENSG00000005022			119470262	119471081
ENSG00000005075			102473118	102478907
ENSG00000005075			102473938	102478906
ENSG00000005156			34980494	35009743
ENSG00000005156			34980512	34994429
ENSG00000005156			34980546	35003172
ENSG00000005156			34980558	34989657
ENSG00000005156			34980559	34992607
ENSG00000005156			34980577	34989880
ENSG00000005156			34980640	34989540
ENSG00000005156			34983452	34991065
ENSG00000005156			34986094	34991314
ENSG00000005156			34991637	34997825
ENSG00000005156			34994187	34998254
ENSG00000005156			34994275	34996373
ENSG00000005156			34997034	35004804
ENSG00000005156			34997718	35001293
ENSG00000005156			34997756	34998671
ENSG00000005156			35002834	35004372
ENSG00000005175			47661249	47706061
ENSG00000005175			47663290	47664843
ENSG00000005175			47663292	47706026
ENSG00000005175			47663293	47705986
ENSG00000005175			47695942	47697701
ENSG00000005175			47700015	47702816
ENSG00000005175			47701191	47705999
ENSG00000005194			57428169	57447528
ENSG00000005194			57428187	57447419
ENSG00000005194			57428218	57447406
ENSG00000005194			57428554	57447406
ENSG00000005194			57428938	57447368
ENSG00000005194			57429062	57440975
ENSG00000005194			57429099	57440986
ENSG00000005194			57429177	57430646
ENSG00000005194			57430258	57447366
ENSG00000005194			57430328	57447420
ENSG00000005194			57431196	57440933
ENSG00000005194			57431317	57447377
ENSG00000005194			57433648	57439213
ENSG00000005194			57433910	57441403
ENSG00000005194			57436656	57447377
ENSG00000005206			2328615	2338526
ENSG00000005206			2328630	2354806
ENSG00000005206			2328659	2337482
ENSG00000005206			2328673	2343292
ENSG00000005206			2328684	2341468
ENSG00000005206			2328693	2353933
ENSG00000005206			2328696	2342503
ENSG00000005206			2330297	2330759
ENSG00000005206			2334629	2337935
ENSG00000005206			2337111	2339877
ENSG00000005206			2338760	2341187
ENSG00000005206			2339158	2343972
ENSG00000005206			2339678	2341956
ENSG00000005206			2342722	2353567
ENSG00000005238			35104112	35115850
ENSG00000005238			35104121	35111588
ENSG00000005238			35104121	35112392
ENSG00000005238			35104121	35115896
ENSG00000005238			35104121	35116341
ENSG00000005238			35104123	35111574
ENSG00000005238			35104142	35111423
ENSG00000005238			35108235	35115862
ENSG00000005238			35108345	35115862
ENSG00000005243			48026167	48029425
ENSG00000005243			48026167	48033252
ENSG00000005243			48026167	48036902
ENSG00000005243			48026167	48036906
ENSG00000005243			48026171	48028560
ENSG00000005243			48026171	48037782
ENSG00000005243			48026174	48033282
ENSG00000005243			48026182	48037773
ENSG00000005243			48031646	48033872
ENSG00000005243			48033892	48038030
ENSG00000005302			11758159	11775753
ENSG00000005302			11758237	11767977
ENSG00000005302			11758253	11775231
ENSG00000005302			11758582	11762219
ENSG00000005302			11758586	11762957
ENSG00000005302			11759552	11775751
ENSG00000005302			11759628	11765646
ENSG00000005302			11759641	11761054
ENSG00000005302			11760043	11762907
ENSG00000005302			11760138	11761582
ENSG00000005302			11760186	11762924
ENSG00000005302			11760222	11764251
ENSG00000005302			11762888	11768684
ENSG00000005302			11765661	11769102
ENSG00000005302			11768313	11772218
ENSG00000005302			11758159	11775747
ENSG00000005302			11758582	11775747
ENSG00000005339			3725054	3880726
ENSG00000005339			3727539	3880120
ENSG00000005339			3731908	3736999
ENSG00000005339			3731911	3743468
ENSG00000005339			3736508	3744957
ENSG00000005339			3739446	3751808
ENSG00000005339			3739614	3767832
ENSG00000005339			3740443	3745654
ENSG00000005339			3767302	3770703
ENSG00000005339			3773636	3778172
ENSG00000005339			3773636	3780867
ENSG00000005339			3773740	3774746
ENSG00000005448			74421678	74425474
ENSG00000005448			74421729	74425754
ENSG00000005448			74421730	74422610
ENSG00000005448			74421730	74423111
ENSG00000005448			74421730	74423508
ENSG00000005448			74421730	74423990
ENSG00000005448			74421730	74425755
ENSG00000005448			74421744	74425755
ENSG00000005448			74421759	74425650
ENSG00000005448			74421764	74424976
ENSG00000005448			74421766	74425755
ENSG00000005448			74422175	74425704
ENSG00000005448			74424873	74425755
ENSG00000005483			105014179	105114085
ENSG00000005483			105014190	105114361
ENSG00000005483			105014206	105090132
ENSG00000005483			105014207	105040856
ENSG00000005483			105014208	105074777
ENSG00000005483			105014218	105091609
ENSG00000005483			105014461	105063377
ENSG00000005483			105038126	105090132
ENSG00000005483			105061918	105063386
ENSG00000005483			105062198	105063827
ENSG00000005483			105077116	105077808
ENSG00000005483			105101471	105102649
ENSG00000005483			105107900	105110556
ENSG00000005483			105109040	105110867
ENSG00000005483			105014190	105114084
ENSG00000005483			105063350	105101478
ENSG00000005483			105014190	105114361
ENSG00000005483			105040953	105113333
ENSG00000005486			75842602	75882124
ENSG00000005486			75878091	75882165
ENSG00000005486			75878948	75888921
ENSG00000005486			75879004	75888884
ENSG00000005486			75879140	75880305
ENSG00000005486			75879172	75888583
ENSG00000005486			75882044	75888921
ENSG00000005486			75883490	75888268
ENSG00000005486			75878999	75888926
ENSG00000005486			75878948	75888926
ENSG00000005486			75878948	75888920
ENSG00000005700			82169983	82247754
ENSG00000005700			82169986	82240565
ENSG00000005700			82170236	82173578
ENSG00000005700		XR_432726	82170239	82205929
ENSG00000005700		XR_432263	82170239	82205929
ENSG00000005700		XR_428952	82170239	82205929
ENSG00000005700			82170743	82247671
ENSG00000005700			82171403	82240565
ENSG00000005700			82171412	82240565
ENSG00000005700			82171508	82191854
ENSG00000005700			82191331	82247754
ENSG00000005700			82170239	82247754
ENSG00000005810			77044655	77326679
ENSG00000005810			77044902	77087514
ENSG00000005810			77093286	77097646
ENSG00000005810			77098068	77126516
ENSG00000005810			77098776	77118462
ENSG00000005810			77098885	77140943
ENSG00000005810			77121225	77125428
ENSG00000005810			77144117	77150778
ENSG00000005810			77270031	77273511
ENSG00000005810			77296603	77327050
ENSG00000005810			77044660	77058334
ENSG00000005810			77044658	77327044
ENSG00000005812			76992598	77015581
ENSG00000005812			76999137	77018686
ENSG00000005812			77005254	77027150
ENSG00000005812			77007565	77027195
ENSG00000005812			77015165	77018744
ENSG00000005812			77015511	77027085
ENSG00000005882			50094737	50111058
ENSG00000005882			50094784	50106857
ENSG00000005882			50095275	50112152
ENSG00000005882			50095285	50108719
ENSG00000005882			50095375	50097796
ENSG00000005882			50095387	50106368
ENSG00000005882			50095695	50107085
ENSG00000005882			50095737	50097449
ENSG00000005882			50095974	50106039
ENSG00000005882			50097513	50108245
ENSG00000005882			50104324	50108322
ENSG00000005882			50105279	50107153
ENSG00000005882			50106441	50108194
ENSG00000005882			50108001	50110209
ENSG00000005882			50108008	50109984
ENSG00000005882			50095695	50111368
ENSG00000005893			120427827	120469365
ENSG00000005893			120430826	120469306
ENSG00000005893			120431248	120449068
ENSG00000005893			120436494	120469306
ENSG00000006007			19501689	19522145
ENSG00000006007			19502383	19522123
ENSG00000006007			19503101	19505132
ENSG00000006007			19503861	19517168
ENSG00000006007			19507685	19521588
ENSG00000006015			18588685	18592334
ENSG00000006015			18588725	18592336
ENSG00000006015			18588796	18592336
ENSG00000006015			18588798	18592336
ENSG00000006015			18588802	18592336
ENSG00000006015			18588809	18592327
ENSG00000006015			18589602	18592336
ENSG00000006015			18589872	18592336
ENSG00000006025			47807372	47821770
ENSG00000006025			47807373	47817001
ENSG00000006025			47807374	47820858
ENSG00000006025			47808216	47809115
ENSG00000006025			47815288	47821803
ENSG00000006025			47816266	47816924
ENSG00000006025			47816587	47819138
ENSG00000006025			47819333	47821781
ENSG00000006025			47819721	47821741
ENSG00000006025			47807373	47821834
ENSG00000006025			47807375	47821780
ENSG00000006062			45263121	45317040
ENSG00000006062			45263135	45273966
ENSG00000006062			45270752	45273602
ENSG00000006062			45281638	45317017
ENSG00000006062			45263128	45290976
ENSG00000006125			35578046	35608315
ENSG00000006125			35586899	35657791
ENSG00000006125			35587274	35726409
ENSG00000006125			35587314	35670898
ENSG00000006125			35587314	35724086
ENSG00000006125			35587314	35724089
ENSG00000006125			35587322	35608165
ENSG00000006125			35587322	35608292
ENSG00000006125			35587322	35670898
ENSG00000006125			35587322	35723917
ENSG00000006125			35587367	35670898
ENSG00000006125			35587416	35605801
ENSG00000006125			35587452	35670898
ENSG00000006125			35587531	35601037
ENSG00000006125			35587566	35605766
ENSG00000006125			35587738	35608260
ENSG00000006125			35607837	35626720
ENSG00000006125			35621275	35670898
ENSG00000006125			35624582	35657615
ENSG00000006125			35650650	35660120
ENSG00000006125			35587515	35724086
ENSG00000006282			50543058	50555850
ENSG00000006282			50547089	50555852
ENSG00000006282			50547126	50555852
ENSG00000006282			50547127	50555850
ENSG00000006282			50547129	50548618
ENSG00000006282			50547153	50549329
ENSG00000006282			50547161	50548863
ENSG00000006282			50547180	50548172
ENSG00000006282			50547184	50549304
ENSG00000006282			50547205	50548581
ENSG00000006282			50547205	50550891
ENSG00000006282			50547209	50548703
ENSG00000006282			50547209	50548902
ENSG00000006282			50547999	50555852
ENSG00000006282			50548013	50555852
ENSG00000006282			50548019	50550802
ENSG00000006282			50548060	50548814
ENSG00000006282			50548076	50549409
ENSG00000006282			50548850	50551072
ENSG00000006282			50548883	50550851
ENSG00000006282			50550108	50551384
ENSG00000006282			50550212	50551669
ENSG00000006282			50550272	50551985
ENSG00000006282			50550400	50551108
ENSG00000006282			50550734	50551939
ENSG00000006282			50547089	50555850
ENSG00000006282			50547201	50555850
ENSG00000006451			39623483	39708124
ENSG00000006451			39623565	39706391
ENSG00000006451			39623886	39690570
ENSG00000006451			39686687	39706308
ENSG00000006451			39700880	39706302
ENSG00000006530			141551189	141655244
ENSG00000006530			141551395	141653147
ENSG00000006530			141551410	141599308
ENSG00000006530			141551418	141621790
ENSG00000006530			141555453	141594195
ENSG00000006530			141555453	141651575
ENSG00000006530			141555456	141616024
ENSG00000006530			141555466	141597340
ENSG00000006530			141601221	141616368
ENSG00000006530			141649131	141653065
ENSG00000006652			112422968	112450780
ENSG00000006652			112423144	112475527
ENSG00000006652			112435448	112456073
ENSG00000006652			112450049	112455855
ENSG00000006652			112450126	112450741
ENSG00000006652			112450428	112476192
ENSG00000006652			112450458	112458336
ENSG00000006652			112451020	112458912
ENSG00000006652			112452058	112458982
ENSG00000006652			112456996	112468104
ENSG00000006652			112457531	112462122
ENSG00000006652			112461332	112472244
ENSG00000006652			112467377	112476186
ENSG00000006652			112467677	112472861
ENSG00000006652			112468086	112481017
ENSG00000006652			112452058	112477200
ENSG00000006652			112423144	112477200
ENSG00000006695			14069496	14077322
ENSG00000006695			14069529	14208677
ENSG00000006695			14069604	14207513
ENSG00000006695			14069604	14207585
ENSG00000006712			39385852	39391195
ENSG00000006712			39385853	39391154
ENSG00000006712			39386365	39386766
ENSG00000006712			39386482	39391117
ENSG00000006712			39388842	39389198
ENSG00000006712			39389294	39391082
ENSG00000006712			39389886	39391117
ENSG00000006712			39390069	39391154
ENSG00000006715			38722963	38909229
ENSG00000006715			38725555	38909174
ENSG00000006715			38726109	38727186
ENSG00000006715			38726236	38745581
ENSG00000006715			38726319	38745998
ENSG00000006715			38741284	38745562
ENSG00000006715			38758402	38765753
ENSG00000006715			38772599	38797041
ENSG00000006715			38774158	38775672
ENSG00000006715			38795492	38831346
ENSG00000006715			38795542	38909191
ENSG00000006715			38796745	38909191
ENSG00000006715			38817803	38929560
ENSG00000006715			38821218	38932394
ENSG00000006744			12992391	13006546
ENSG00000006744			12992391	13017628
ENSG00000006744			12992391	13018187
ENSG00000006744			12992392	13018021
ENSG00000006744			12992393	13000897
ENSG00000006744			12992393	13004108
ENSG00000006744			12992560	13017999
ENSG00000006744			12992611	13013239
ENSG00000006744			12994430	12998508
ENSG00000006744			12995703	13002384
ENSG00000006744			12998412	13011670
ENSG00000006744			12998449	13002725
ENSG00000006744			13000177	13003554
ENSG00000006744			13000225	13003786
ENSG00000006744			13003506	13017615
ENSG00000006744			13003549	13017683
ENSG00000006744			13005772	13017664
ENSG00000006744			13011663	13017643
ENSG00000006744			13011687	13017590
ENSG00000006744			13011693	13018065
ENSG00000006744			13011724	13017966
ENSG00000006831			1688574	1772924
ENSG00000006831			1691027	1788678
ENSG00000006831			1691163	1731056
ENSG00000006831			1760729	1777915
ENSG00000006831			1772714	1780518
ENSG00000006831			1772923	1778607
ENSG00000006831			1780148	1780967
ENSG00000007047			45079288	45266246
ENSG00000007047			45251258	45303693
ENSG00000007047			45251292	45305283
ENSG00000007047			45251387	45280657
ENSG00000007047			45258893	45266281
ENSG00000007047			45262991	45271677
ENSG00000007047			45264687	45288552
ENSG00000007047			45271476	45287664
ENSG00000007047			45280145	45287664
ENSG00000007047			45294355	45303369
ENSG00000007047			45251387	45303681
ENSG00000007080			17933016	17943937
ENSG00000007080			17933023	17936992
ENSG00000007080			17935096	17943991
ENSG00000007080			17936251	17943321
ENSG00000007168			2593210	2667045
ENSG00000007168			2593746	2685615
ENSG00000007168			2593815	2666090
ENSG00000007168			2593957	2684500
ENSG00000007168			2593962	2667182
ENSG00000007168			2593968	2638648
ENSG00000007168			2609539	2681910
ENSG00000007168			2665381	2670374
ENSG00000007168			2667294	2682038
ENSG00000007168			2670268	2682196
ENSG00000007168			2673665	2682348
ENSG00000007168			2679687	2681744
ENSG00000007168			2680844	2681857
ENSG00000007202			28614440	28645131
ENSG00000007202			28614882	28645454
ENSG00000007202			28616260	28616934
ENSG00000007202			28616667	28619775
ENSG00000007202			28618718	28620060
ENSG00000007202			28631484	28633653
ENSG00000007202			28632081	28633476
ENSG00000007202			28633686	28634670
ENSG00000007202			28639061	28645155
ENSG00000007202			28639315	28641930
ENSG00000007202			28639316	28645111
ENSG00000007202			28639687	28645148
ENSG00000007202			28639966	28642481
ENSG00000007202			28640397	28642047
ENSG00000007202			28642063	28643280
ENSG00000007202			28614878	28645454
ENSG00000007255			45162928	45178237
ENSG00000007255			45162928	45178237
ENSG00000007255			45162933	45178237
ENSG00000007255			45163141	45178227
ENSG00000007255			45164725	45178211
ENSG00000007376			784974	787981
ENSG00000007376			784974	788383
ENSG00000007376			784991	788371
ENSG00000007376			785014	788397
ENSG00000007376			785968	788334
