dS	dN	Mouse Ensembl Gene ID	Ensembl Gene ID
1.29620	0.83180	ENSMUSG00000079705	ENSG00000241476
0.94430	0.69680	ENSMUSG00000023165	ENSG00000241476
1.01900	0.75970	ENSMUSG00000079702	ENSG00000241476
1.19290	0.85280	ENSMUSG00000079703	ENSG00000241476
1.30410	0.84980	ENSMUSG00000079701	ENSG00000241476
1.21360	0.85210	ENSMUSG00000068219	ENSG00000241476
1.19530	0.82750	ENSMUSG00000068218	ENSG00000241476
1.44050	0.82530	ENSMUSG00000079699	ENSG00000241476
0.26810	0.00000	ENSMUSG00000026878	ENSG00000119396
1.08100	0.00110	ENSMUSG00000084786	ENSG00000198258
1.53380	0.01250	ENSMUSG00000093844	ENSG00000198258
0.29480	0.07210	ENSMUSG00000073016	ENSG00000094841
0.32570	0.17010	ENSMUSG00000040928	ENSG00000116497
0.59900	0.03960	ENSMUSG00000066643	ENSG00000118965
0.60110	0.18200	ENSMUSG00000030166	ENSG00000002016
0.51230	0.16510	ENSMUSG00000036285	ENSG00000084092
0.73600	0.00140	ENSMUSG00000061517	ENSG00000125285
0.64610	0.09870	ENSMUSG00000027522	ENSG00000254995
0.51470	0.11930	ENSMUSG00000056763	ENSG00000104218
0.47510	0.00000	ENSMUSG00000028609	ENSG00000162385
1.14530	0.03530	ENSMUSG00000025139	ENSG00000078902
0.33560	0.00880	ENSMUSG00000014496	ENSG00000206560
0.96520	0.08750	ENSMUSG00000047298	ENSG00000168263
58.25350	0.29560	ENSMUSG00000070858	ENSG00000243449
0.77390	0.01020	ENSMUSG00000055538	ENSG00000165424
0.69080	0.17150	ENSMUSG00000054757	ENSG00000151632
0.69960	0.21090	ENSMUSG00000021211	ENSG00000151632
0.76340	0.15320	ENSMUSG00000021210	ENSG00000151632
0.72320	0.18430	ENSMUSG00000025955	ENSG00000151632
0.75710	0.16730	ENSMUSG00000021207	ENSG00000151632
0.70020	0.22500	ENSMUSG00000021213	ENSG00000151632
0.70620	0.18060	ENSMUSG00000071551	ENSG00000151632
0.63250	0.20900	ENSMUSG00000033715	ENSG00000151632
0.57380	0.18460	ENSMUSG00000021214	ENSG00000151632
0.33870	0.03480	ENSMUSG00000048833	ENSG00000029364
0.50520	0.06140	ENSMUSG00000072889	ENSG00000170448
0.34960	0.03880	ENSMUSG00000050199	ENSG00000205213
0.48770	0.01050	ENSMUSG00000030224	ENSG00000023734
0.57350	0.06420	ENSMUSG00000027356	ENSG00000101311
0.88970	0.07580	ENSMUSG00000037469	ENSG00000183760
0.73520	0.24460	ENSMUSG00000036281	ENSG00000165684
0.62600	0.03990	ENSMUSG00000059316	ENSG00000167114
0.50470	0.28750	ENSMUSG00000044066	ENSG00000011523
0.39310	0.01720	ENSMUSG00000033760	ENSG00000173914
0.51440	0.01900	ENSMUSG00000034021	ENSG00000083642
1.00760	0.19530	ENSMUSG00000048003	ENSG00000188782
0.50510	0.16280	ENSMUSG00000047022	ENSG00000151338
1.13490	0.13730	ENSMUSG00000042099	ENSG00000186994
0.73260	0.08270	ENSMUSG00000039725	ENSG00000172315
0.74060	0.07880	ENSMUSG00000042854	ENSG00000172315
0.58660	0.13560	ENSMUSG00000091402	ENSG00000227729
0.90220	0.21120	ENSMUSG00000005950	ENSG00000083454
0.51460	0.07860	ENSMUSG00000025264	ENSG00000158526
0.70710	0.12220	ENSMUSG00000006344	ENSG00000099998
0.52230	0.07460	ENSMUSG00000031760	ENSG00000087250
0.80150	0.17710	ENSMUSG00000060477	ENSG00000134070
0.62750	0.12260	ENSMUSG00000031860	ENSG00000105717
0.51400	0.03450	ENSMUSG00000030282	ENSG00000111726
0.30590	0.04970	ENSMUSG00000090935	ENSG00000213463
0.76140	0.03910	ENSMUSG00000022634	ENSG00000015153
0.64010	0.00580	ENSMUSG00000053716	ENSG00000164086
0.48420	0.02250	ENSMUSG00000039943	ENSG00000101333
0.90340	0.05030	ENSMUSG00000030781	ENSG00000140675
0.48330	0.16290	ENSMUSG00000032596	ENSG00000182179
0.88290	0.10650	ENSMUSG00000031651	ENSG00000184108
0.47890	0.06050	ENSMUSG00000038299	ENSG00000134987
0.73890	0.21710	ENSMUSG00000036196	ENSG00000112053
		ENSMUSG00000088758	ENSG00000252498
0.77610	0.11870	ENSMUSG00000030834	ENSG00000091262
0.61410	0.01870	ENSMUSG00000054843	ENSG00000107518
1.41950	0.04240	ENSMUSG00000004934	ENSG00000105229
0.62870	0.04530	ENSMUSG00000032263	ENSG00000083123
0.42190	0.05320	ENSMUSG00000000394	ENSG00000115263
0.73650	0.04180	ENSMUSG00000034707	ENSG00000135677
0.48680	0.12410	ENSMUSG00000079144	ENSG00000162757
0.68840	0.01970	ENSMUSG00000000486	ENSG00000180096
1.02770	0.02780	ENSMUSG00000064225	ENSG00000188582
0.31910	0.00320	ENSMUSG00000027176	ENSG00000176102
0.50150	0.04170	ENSMUSG00000032786	ENSG00000023330
0.69680	0.25230	ENSMUSG00000034422	ENSG00000173193
0.45980	0.04400	ENSMUSG00000039128	ENSG00000151465
0.71580	0.12270	ENSMUSG00000030045	ENSG00000115364
0.57950	0.09630	ENSMUSG00000082229	ENSG00000186462
0.50550	0.08370	ENSMUSG00000026495	ENSG00000203666
0.55000	0.02540	ENSMUSG00000042688	ENSG00000069956
0.47900	0.01550	ENSMUSG00000036095	ENSG00000136267
1.18380	0.04840	ENSMUSG00000015337	ENSG00000167136
0.88570	0.24920	ENSMUSG00000037661	ENSG00000173890
0.54390	0.25670	ENSMUSG00000063236	ENSG00000182307
		ENSMUSG00000087845	ENSG00000222472
0.62180	0.06350	ENSMUSG00000052087	ENSG00000169220
0.73790	0.15090	ENSMUSG00000031871	ENSG00000179776
0.95280	0.13140	ENSMUSG00000061878	ENSG00000176170
		ENSMUSG00000093164	ENSG00000237611
		ENSMUSG00000092974	ENSG00000237611
		ENSMUSG00000093319	ENSG00000237611
		ENSMUSG00000092932	ENSG00000237611
		ENSMUSG00000098690	ENSG00000237611
		ENSMUSG00000093031	ENSG00000237611
		ENSMUSG00000093249	ENSG00000237611
		ENSMUSG00000092986	ENSG00000237611
		ENSMUSG00000092641	ENSG00000237611
		ENSMUSG00000093059	ENSG00000237611
		ENSMUSG00000098755	ENSG00000237611
		ENSMUSG00000093023	ENSG00000237611
		ENSMUSG00000092905	ENSG00000237611
		ENSMUSG00000093345	ENSG00000237611
0.98140	0.02920	ENSMUSG00000021143	ENSG00000179364
0.62150	0.03210	ENSMUSG00000030353	ENSG00000197905
0.89950	0.13390	ENSMUSG00000047420	ENSG00000189320
0.76860	0.10200	ENSMUSG00000024236	ENSG00000197321
0.66180	0.09990	ENSMUSG00000026281	ENSG00000168393
0.38670	0.03690	ENSMUSG00000038876	ENSG00000118518
0.71760	0.02130	ENSMUSG00000034586	ENSG00000167861
0.54940	0.11070	ENSMUSG00000022155	ENSG00000171495
0.86650	0.07540	ENSMUSG00000049691	ENSG00000109705
0.50300	0.15730	ENSMUSG00000047642	ENSG00000185306
		ENSMUSG00000065212	ENSG00000207110
		ENSMUSG00000065232	ENSG00000222328
		ENSMUSG00000084752	ENSG00000222389
0.54450	0.02600	ENSMUSG00000038301	ENSG00000086300
		ENSMUSG00000065041	ENSG00000206760
0.55450	0.10420	ENSMUSG00000045629	ENSG00000169247
0.38950	0.07820	ENSMUSG00000006010	ENSG00000157181
0.80820	0.01820	ENSMUSG00000018263	ENSG00000089225
0.68240	0.29600	ENSMUSG00000039699	ENSG00000168062
		ENSMUSG00000088735	ENSG00000238575
		ENSMUSG00000088323	ENSG00000238575
0.96410	0.19660	ENSMUSG00000038781	ENSG00000178078
0.35330	0.02550	ENSMUSG00000000223	ENSG00000102385
		ENSMUSG00000093645	ENSG00000212498
0.51150	0.05500	ENSMUSG00000027875	ENSG00000134240
0.92250	0.43360	ENSMUSG00000042063	ENSG00000118620
0.92090	0.24900	ENSMUSG00000040557	ENSG00000165171
0.82630	0.07700	ENSMUSG00000031090	ENSG00000172890
0.49430	0.08500	ENSMUSG00000033991	ENSG00000198677
0.36000	0.01510	ENSMUSG00000038160	ENSG00000057663
		ENSMUSG00000065348	ENSG00000206685
		ENSMUSG00000064424	ENSG00000206685
		ENSMUSG00000065936	ENSG00000206685
		ENSMUSG00000077294	ENSG00000222365
		ENSMUSG00000077565	ENSG00000222365
1.07460	0.14160	ENSMUSG00000026925	ENSG00000148384
		ENSMUSG00000065431	ENSG00000207721
		ENSMUSG00000065516	ENSG00000207949
0.78200	0.05030	ENSMUSG00000039683	ENSG00000146555
0.78690	0.09740	ENSMUSG00000020396	ENSG00000100285
0.91540	0.16330	ENSMUSG00000023987	ENSG00000096088
0.52260	0.12120	ENSMUSG00000034430	ENSG00000070476
0.39960	0.02680	ENSMUSG00000030329	ENSG00000139200
		ENSMUSG00000084711	ENSG00000252759
0.45120	0.02040	ENSMUSG00000057378	ENSG00000198838
0.43860	0.01940	ENSMUSG00000000440	ENSG00000132170
0.28900	0.01580	ENSMUSG00000000308	ENSG00000237289
0.56820	0.03210	ENSMUSG00000027522	ENSG00000124222
		ENSMUSG00000088835	ENSG00000238795
		ENSMUSG00000096863	ENSG00000200550
		ENSMUSG00000096263	ENSG00000202252
		ENSMUSG00000088169	ENSG00000238793
		ENSMUSG00000065818	ENSG00000200259
0.54760	0.08370	ENSMUSG00000010914	ENSG00000110435
0.40650	0.26620	ENSMUSG00000022657	ENSG00000153283
		ENSMUSG00000089007	ENSG00000207166
		ENSMUSG00000077380	ENSG00000207166
		ENSMUSG00000077563	ENSG00000207166
		ENSMUSG00000088691	ENSG00000207166
0.56850	0.07910	ENSMUSG00000033460	ENSG00000126947
0.39810	0.03150	ENSMUSG00000030729	ENSG00000165434
0.51830	0.11110	ENSMUSG00000049904	ENSG00000186889
		ENSMUSG00000089608	ENSG00000206762
0.50600	0.13570	ENSMUSG00000032125	ENSG00000154133
0.55090	0.03390	ENSMUSG00000040356	ENSG00000204351
0.60520	0.05280	ENSMUSG00000042734	ENSG00000133985
		ENSMUSG00000089271	ENSG00000223313
		ENSMUSG00000080582	ENSG00000221716
		ENSMUSG00000070063	ENSG00000200534
0.43040	0.00040	ENSMUSG00000029550	ENSG00000157837
		ENSMUSG00000070235	ENSG00000199546
		ENSMUSG00000065102	ENSG00000223290
1.25260	0.07480	ENSMUSG00000029036	ENSG00000160072
0.40180	0.04400	ENSMUSG00000022180	ENSG00000092068
0.47410	0.01640	ENSMUSG00000042628	ENSG00000165861
		ENSMUSG00000075874	ENSG00000199572
0.65090	0.00650	ENSMUSG00000041695	ENSG00000123700
0.47530	0.02350	ENSMUSG00000021038	ENSG00000151445
0.73390	0.24420	ENSMUSG00000036921	ENSG00000227868
		ENSMUSG00000088144	ENSG00000206634
		ENSMUSG00000065304	ENSG00000206634
1.10970	0.08460	ENSMUSG00000035754	ENSG00000065268
		ENSMUSG00000088499	ENSG00000202025
0.98610	0.02080	ENSMUSG00000042644	ENSG00000096433
		ENSMUSG00000065434	ENSG00000207603
0.56950	0.35350	ENSMUSG00000051153	ENSG00000121318
0.67000	0.33710	ENSMUSG00000057754	ENSG00000121318
0.54460	0.36620	ENSMUSG00000061977	ENSG00000121318
0.47500	0.34410	ENSMUSG00000053389	ENSG00000121318
0.61500	0.35610	ENSMUSG00000063478	ENSG00000121318
0.51840	0.04700	ENSMUSG00000024776	ENSG00000138134
1.59210	0.09710	ENSMUSG00000048696	ENSG00000181588
0.41190	0.04330	ENSMUSG00000020841	ENSG00000108582
		ENSMUSG00000077167	ENSG00000212443
0.61930	0.24520	ENSMUSG00000021403	ENSG00000170542
0.72270	0.27410	ENSMUSG00000071452	ENSG00000170542
0.69800	0.26800	ENSMUSG00000038327	ENSG00000170542
0.70220	0.26960	ENSMUSG00000062342	ENSG00000170542
0.64040	0.25530	ENSMUSG00000021404	ENSG00000170542
0.70090	0.25180	ENSMUSG00000054266	ENSG00000170542
0.56470	0.19000	ENSMUSG00000045827	ENSG00000170542
0.71570	0.27200	ENSMUSG00000057726	ENSG00000170542
0.55310	0.08400	ENSMUSG00000046230	ENSG00000197969
0.26270	0.01740	ENSMUSG00000050079	ENSG00000159579
0.32640	0.01560	ENSMUSG00000039656	ENSG00000204231
0.54700	0.03690	ENSMUSG00000026511	ENSG00000143742
		ENSMUSG00000064380	ENSG00000222145
		ENSMUSG00000064387	ENSG00000222145
		ENSMUSG00000065353	ENSG00000222145
		ENSMUSG00000065158	ENSG00000222145
		ENSMUSG00000084734	ENSG00000222145
		ENSMUSG00000065328	ENSG00000222145
		ENSMUSG00000065726	ENSG00000222145
0.74130	0.05870	ENSMUSG00000009614	ENSG00000123453
		ENSMUSG00000076451	ENSG00000211574
0.60170	0.10090	ENSMUSG00000035356	ENSG00000144802
0.49240	0.10620	ENSMUSG00000045822	ENSG00000132801
0.42420	0.03570	ENSMUSG00000031996	ENSG00000084234
1.23700	0.44320	ENSMUSG00000030469	ENSG00000197779
1.54360	0.43400	ENSMUSG00000055102	ENSG00000197779
0.52240	0.06130	ENSMUSG00000022685	ENSG00000140694
0.57160	0.09210	ENSMUSG00000066278	ENSG00000139722
0.94000	0.11780	ENSMUSG00000034394	ENSG00000128342
0.40340	0.01720	ENSMUSG00000038481	ENSG00000155111
0.51540	0.07820	ENSMUSG00000035877	ENSG00000174306
		ENSMUSG00000065089	ENSG00000212371
0.43160	0.00820	ENSMUSG00000054423	ENSG00000163618
		ENSMUSG00000065037	ENSG00000202198
0.79930	0.02990	ENSMUSG00000030796	ENSG00000074219
0.85620	0.00790	ENSMUSG00000041708	ENSG00000186732
1.60170	0.61950	ENSMUSG00000058028	ENSG00000131848
0.39820	0.00740	ENSMUSG00000026553	ENSG00000122218
0.83730	0.16090	ENSMUSG00000022526	ENSG00000198169
1.08830	0.06880	ENSMUSG00000034189	ENSG00000103160
2.91060	0.30110	ENSMUSG00000030793	ENSG00000169900
0.33050	0.00690	ENSMUSG00000024006	ENSG00000112079
		ENSMUSG00000065445	ENSG00000208035
0.18420	0.00000	ENSMUSG00000020149	ENSG00000138069
0.77000	0.11460	ENSMUSG00000027907	ENSG00000163191
		ENSMUSG00000065883	ENSG00000221332
		ENSMUSG00000098641	ENSG00000221332
		ENSMUSG00000098425	ENSG00000221332
		ENSMUSG00000065629	ENSG00000221332
		ENSMUSG00000064776	ENSG00000221332
		ENSMUSG00000098925	ENSG00000221332
		ENSMUSG00000077403	ENSG00000221332
		ENSMUSG00000064400	ENSG00000221332
		ENSMUSG00000065822	ENSG00000206941
		ENSMUSG00000064945	ENSG00000238366
0.55660	0.07900	ENSMUSG00000031233	ENSG00000170950
		ENSMUSG00000064765	ENSG00000200829
0.60570	0.05610	ENSMUSG00000029618	ENSG00000122543
1.55200	0.48670	ENSMUSG00000002546	ENSG00000206127
0.55300	0.12170	ENSMUSG00000022096	ENSG00000168453
1.15720	0.04870	ENSMUSG00000063882	ENSG00000173660
0.70040	0.09180	ENSMUSG00000035274	ENSG00000146242
0.47360	0.04510	ENSMUSG00000026156	ENSG00000112309
0.55370	0.12210	ENSMUSG00000022023	ENSG00000120688
0.48850	0.17390	ENSMUSG00000037318	ENSG00000009790
		ENSMUSG00000065422	ENSG00000207870
0.87030	0.02640	ENSMUSG00000006800	ENSG00000196562
0.91110	0.24050	ENSMUSG00000048062	ENSG00000171049
0.88070	0.16200	ENSMUSG00000052270	ENSG00000171049
0.87870	0.28810	ENSMUSG00000071276	ENSG00000171049
0.76350	0.22850	ENSMUSG00000060701	ENSG00000171049
0.82310	0.17740	ENSMUSG00000079700	ENSG00000171049
0.94810	0.28880	ENSMUSG00000071275	ENSG00000171049
		ENSMUSG00000088397	ENSG00000238363
0.55300	0.12740	ENSMUSG00000024727	ENSG00000119121
		ENSMUSG00000088784	ENSG00000201457
		ENSMUSG00000064558	ENSG00000201457
		ENSMUSG00000087930	ENSG00000201457
		ENSMUSG00000065255	ENSG00000201457
		ENSMUSG00000065778	ENSG00000201457
		ENSMUSG00000089264	ENSG00000201457
		ENSMUSG00000064655	ENSG00000201457
0.64010	0.20640	ENSMUSG00000039205	ENSG00000148337
1.35610	0.12410	ENSMUSG00000053522	ENSG00000205076
0.68150	0.11190	ENSMUSG00000027480	ENSG00000167098
		ENSMUSG00000065239	ENSG00000212541
0.64040	0.01310	ENSMUSG00000026819	ENSG00000148339
0.74830	0.08000	ENSMUSG00000033427	ENSG00000100024
0.64890	0.40200	ENSMUSG00000079165	ENSG00000205307
0.38430	0.10520	ENSMUSG00000028411	ENSG00000137074
		ENSMUSG00000089265	ENSG00000238300
0.48820	0.25880	ENSMUSG00000072969	ENSG00000125962
		ENSMUSG00000077564	ENSG00000207051
		ENSMUSG00000064741	ENSG00000201403
0.74370	0.08050	ENSMUSG00000017764	ENSG00000168612
		ENSMUSG00000077248	ENSG00000252558
0.67250	0.13440	ENSMUSG00000027702	ENSG00000171757
0.81540	0.03620	ENSMUSG00000022383	ENSG00000186951
0.85700	0.03660	ENSMUSG00000020083	ENSG00000171224
0.24430	0.01500	ENSMUSG00000028521	ENSG00000116704
0.52860	0.07450	ENSMUSG00000009378	ENSG00000152779
		ENSMUSG00000087887	ENSG00000252774
		ENSMUSG00000087810	ENSG00000252774
		ENSMUSG00000088541	ENSG00000252774
		ENSMUSG00000088435	ENSG00000252774
		ENSMUSG00000087800	ENSG00000252774
		ENSMUSG00000089011	ENSG00000252774
		ENSMUSG00000089587	ENSG00000252774
		ENSMUSG00000088056	ENSG00000252774
		ENSMUSG00000089161	ENSG00000252774
		ENSMUSG00000089589	ENSG00000252774
		ENSMUSG00000089267	ENSG00000252774
		ENSMUSG00000088103	ENSG00000252774
		ENSMUSG00000088266	ENSG00000252774
		ENSMUSG00000087781	ENSG00000252774
		ENSMUSG00000088856	ENSG00000252774
		ENSMUSG00000088536	ENSG00000252774
		ENSMUSG00000089190	ENSG00000252774
		ENSMUSG00000088635	ENSG00000252774
		ENSMUSG00000088423	ENSG00000252774
		ENSMUSG00000088060	ENSG00000252774
		ENSMUSG00000088774	ENSG00000252774
		ENSMUSG00000087973	ENSG00000252774
		ENSMUSG00000088273	ENSG00000252774
		ENSMUSG00000084744	ENSG00000252774
		ENSMUSG00000084708	ENSG00000252774
		ENSMUSG00000088726	ENSG00000252774
		ENSMUSG00000088260	ENSG00000252774
		ENSMUSG00000088836	ENSG00000252774
		ENSMUSG00000088255	ENSG00000252774
		ENSMUSG00000087819	ENSG00000252774
0.52050	0.15450	ENSMUSG00000054199	ENSG00000116580
		ENSMUSG00000084625	ENSG00000207217
0.60090	0.12640	ENSMUSG00000044626	ENSG00000163898
0.74500	0.28210	ENSMUSG00000029161	ENSG00000138028
		ENSMUSG00000064930	ENSG00000207406
		ENSMUSG00000064602	ENSG00000207406
0.35650	0.02740	ENSMUSG00000039001	ENSG00000171858
0.48070	0.03360	ENSMUSG00000033544	ENSG00000116194
0.68420	0.17720	ENSMUSG00000038754	ENSG00000119915
		ENSMUSG00000096431	ENSG00000207279
		ENSMUSG00000095618	ENSG00000207279
		ENSMUSG00000096462	ENSG00000207279
		ENSMUSG00000096313	ENSG00000207279
		ENSMUSG00000095641	ENSG00000207279
		ENSMUSG00000096248	ENSG00000207279
		ENSMUSG00000096148	ENSG00000207279
		ENSMUSG00000094236	ENSG00000207279
		ENSMUSG00000096110	ENSG00000207279
		ENSMUSG00000095045	ENSG00000207279
		ENSMUSG00000096660	ENSG00000207279
		ENSMUSG00000096502	ENSG00000207279
		ENSMUSG00000095479	ENSG00000207279
		ENSMUSG00000096017	ENSG00000207279
		ENSMUSG00000093971	ENSG00000207279
		ENSMUSG00000094923	ENSG00000207279
		ENSMUSG00000096634	ENSG00000207279
		ENSMUSG00000095691	ENSG00000207279
		ENSMUSG00000094060	ENSG00000207279
		ENSMUSG00000094287	ENSG00000207279
		ENSMUSG00000094997	ENSG00000207279
		ENSMUSG00000095100	ENSG00000207279
		ENSMUSG00000094573	ENSG00000207279
		ENSMUSG00000094960	ENSG00000207279
		ENSMUSG00000093974	ENSG00000207279
		ENSMUSG00000094274	ENSG00000207279
		ENSMUSG00000094069	ENSG00000207279
		ENSMUSG00000095349	ENSG00000207279
		ENSMUSG00000094581	ENSG00000207279
		ENSMUSG00000095734	ENSG00000207279
		ENSMUSG00000094987	ENSG00000207279
		ENSMUSG00000095458	ENSG00000207279
		ENSMUSG00000096604	ENSG00000207279
		ENSMUSG00000094389	ENSG00000207279
		ENSMUSG00000094642	ENSG00000207279
		ENSMUSG00000094837	ENSG00000207279
		ENSMUSG00000096677	ENSG00000207279
		ENSMUSG00000096019	ENSG00000207279
		ENSMUSG00000096070	ENSG00000207279
		ENSMUSG00000095155	ENSG00000207279
		ENSMUSG00000094599	ENSG00000207279
		ENSMUSG00000096845	ENSG00000207279
		ENSMUSG00000093802	ENSG00000207279
		ENSMUSG00000096759	ENSG00000207279
		ENSMUSG00000095060	ENSG00000207279
		ENSMUSG00000094890	ENSG00000207279
		ENSMUSG00000096095	ENSG00000207279
		ENSMUSG00000094109	ENSG00000207279
		ENSMUSG00000096190	ENSG00000207279
		ENSMUSG00000096159	ENSG00000207279
		ENSMUSG00000095374	ENSG00000207279
		ENSMUSG00000095639	ENSG00000207279
		ENSMUSG00000096082	ENSG00000207279
		ENSMUSG00000096475	ENSG00000207279
		ENSMUSG00000093929	ENSG00000207279
		ENSMUSG00000094407	ENSG00000207279
		ENSMUSG00000096865	ENSG00000207279
		ENSMUSG00000094994	ENSG00000207279
		ENSMUSG00000096231	ENSG00000207279
		ENSMUSG00000096868	ENSG00000207279
		ENSMUSG00000095389	ENSG00000207279
		ENSMUSG00000096057	ENSG00000207279
		ENSMUSG00000094039	ENSG00000207279
		ENSMUSG00000096305	ENSG00000207279
		ENSMUSG00000093869	ENSG00000207279
		ENSMUSG00000094831	ENSG00000207279
		ENSMUSG00000096302	ENSG00000207279
		ENSMUSG00000094218	ENSG00000207279
		ENSMUSG00000095542	ENSG00000207279
		ENSMUSG00000094150	ENSG00000207279
		ENSMUSG00000077772	ENSG00000207279
0.67950	0.07560	ENSMUSG00000042659	ENSG00000140450
0.78470	0.09340	ENSMUSG00000037348	ENSG00000182749
0.82590	0.22570	ENSMUSG00000004948	ENSG00000188372
		ENSMUSG00000088634	ENSG00000239127
		ENSMUSG00000089127	ENSG00000253047
0.52590	0.03220	ENSMUSG00000028680	ENSG00000173846
0.64890	0.02660	ENSMUSG00000005686	ENSG00000133805
0.53210	0.03770	ENSMUSG00000012117	ENSG00000117682
0.37350	0.18750	ENSMUSG00000042834	ENSG00000134986
0.56890	0.11220	ENSMUSG00000030160	ENSG00000165685
		ENSMUSG00000077737	ENSG00000212296
0.42000	0.06750	ENSMUSG00000026977	ENSG00000136536
		ENSMUSG00000064451	ENSG00000201998
0.67190	0.10520	ENSMUSG00000055811	ENSG00000156282
		ENSMUSG00000096431	ENSG00000207197
		ENSMUSG00000095618	ENSG00000207197
		ENSMUSG00000096462	ENSG00000207197
		ENSMUSG00000096313	ENSG00000207197
		ENSMUSG00000095641	ENSG00000207197
		ENSMUSG00000096248	ENSG00000207197
		ENSMUSG00000096148	ENSG00000207197
		ENSMUSG00000094236	ENSG00000207197
		ENSMUSG00000096110	ENSG00000207197
		ENSMUSG00000095045	ENSG00000207197
		ENSMUSG00000096660	ENSG00000207197
		ENSMUSG00000096502	ENSG00000207197
		ENSMUSG00000095479	ENSG00000207197
		ENSMUSG00000096017	ENSG00000207197
		ENSMUSG00000093971	ENSG00000207197
		ENSMUSG00000094923	ENSG00000207197
		ENSMUSG00000096634	ENSG00000207197
		ENSMUSG00000095691	ENSG00000207197
		ENSMUSG00000094060	ENSG00000207197
		ENSMUSG00000094287	ENSG00000207197
		ENSMUSG00000094997	ENSG00000207197
		ENSMUSG00000095100	ENSG00000207197
		ENSMUSG00000094573	ENSG00000207197
		ENSMUSG00000094960	ENSG00000207197
		ENSMUSG00000093974	ENSG00000207197
		ENSMUSG00000094274	ENSG00000207197
		ENSMUSG00000094069	ENSG00000207197
		ENSMUSG00000095349	ENSG00000207197
		ENSMUSG00000094581	ENSG00000207197
		ENSMUSG00000095734	ENSG00000207197
		ENSMUSG00000094987	ENSG00000207197
		ENSMUSG00000095458	ENSG00000207197
		ENSMUSG00000096604	ENSG00000207197
		ENSMUSG00000094389	ENSG00000207197
		ENSMUSG00000094642	ENSG00000207197
		ENSMUSG00000094837	ENSG00000207197
		ENSMUSG00000096677	ENSG00000207197
		ENSMUSG00000096019	ENSG00000207197
		ENSMUSG00000096070	ENSG00000207197
		ENSMUSG00000095155	ENSG00000207197
		ENSMUSG00000094599	ENSG00000207197
		ENSMUSG00000096845	ENSG00000207197
		ENSMUSG00000093802	ENSG00000207197
		ENSMUSG00000096759	ENSG00000207197
		ENSMUSG00000095060	ENSG00000207197
		ENSMUSG00000094890	ENSG00000207197
		ENSMUSG00000096095	ENSG00000207197
		ENSMUSG00000094109	ENSG00000207197
		ENSMUSG00000096190	ENSG00000207197
		ENSMUSG00000096159	ENSG00000207197
		ENSMUSG00000095374	ENSG00000207197
